Freq.	1/Ie(Q1)
3.01995172040200e-02	-1.01604360566129e+03,-0.00000000000000e+00
3.09029543251357e-02	-1.01604360566129e+03,-0.00000000000000e+00
3.16227766016836e-02	-1.01604360566129e+03,-0.00000000000000e+00
3.23593656929626e-02	-1.01604360566129e+03,-0.00000000000000e+00
3.31131121482589e-02	-1.01604360566129e+03,-0.00000000000000e+00
3.38844156139201e-02	-1.01604360566129e+03,-0.00000000000000e+00
3.46736850452530e-02	-1.01604360566129e+03,-0.00000000000000e+00
3.54813389233573e-02	-1.01604360566129e+03,-0.00000000000000e+00
3.63078054770099e-02	-1.01604360566129e+03,-0.00000000000000e+00
3.71535229097170e-02	-1.01604360566129e+03,-0.00000000000000e+00
3.80189396320559e-02	-1.01604360566129e+03,-0.00000000000000e+00
3.89045144994278e-02	-1.01604360566129e+03,-0.00000000000000e+00
3.98107170553495e-02	-1.01604360566129e+03,-0.00000000000000e+00
4.07380277804110e-02	-1.01604360566129e+03,-0.00000000000000e+00
4.16869383470333e-02	-1.01604360566129e+03,-0.00000000000000e+00
4.26579518801590e-02	-1.01604360566129e+03,-0.00000000000000e+00
4.36515832240163e-02	-1.01604360566129e+03,-0.00000000000000e+00
4.46683592150960e-02	-1.01604360566129e+03,-0.00000000000000e+00
4.57088189614872e-02	-1.01604360566129e+03,-0.00000000000000e+00
4.67735141287195e-02	-1.01604360566129e+03,-0.00000000000000e+00
4.78630092322635e-02	-1.01604360566129e+03,-0.00000000000000e+00
4.89778819368443e-02	-1.01604360566129e+03,-0.00000000000000e+00
5.01187233627269e-02	-1.01604360566129e+03,-0.00000000000000e+00
5.12861383991362e-02	-1.01604360566129e+03,-0.00000000000000e+00
5.24807460249769e-02	-1.01604360566129e+03,-0.00000000000000e+00
5.37031796370249e-02	-1.01604360566129e+03,-0.00000000000000e+00
5.49540873857621e-02	-1.01604360566129e+03,-0.00000000000000e+00
5.62341325190346e-02	-1.01604360566129e+03,-0.00000000000000e+00
5.75439937337153e-02	-1.01604360566129e+03,-0.00000000000000e+00
5.88843655355585e-02	-1.01604360566129e+03,-0.00000000000000e+00
6.02559586074354e-02	-1.01604360566129e+03,-0.00000000000000e+00
6.16595001861478e-02	-1.01604360566129e+03,-0.00000000000000e+00
6.30957344480189e-02	-1.01604360566129e+03,-0.00000000000000e+00
6.45654229034651e-02	-1.01604360566129e+03,-0.00000000000000e+00
6.60693448007592e-02	-1.01604360566129e+03,-0.00000000000000e+00
6.76082975391978e-02	-1.01604360566129e+03,-0.00000000000000e+00
6.91830970918932e-02	-1.01604360566129e+03,-0.00000000000000e+00
7.07945784384133e-02	-1.01604360566129e+03,-0.00000000000000e+00
7.24435960074985e-02	-1.01604360566129e+03,-0.00000000000000e+00
7.41310241300913e-02	-1.01604360566129e+03,-0.00000000000000e+00
7.58577575029179e-02	-1.01604360566129e+03,-0.00000000000000e+00
7.76247116628687e-02	-1.01604360566129e+03,-0.00000000000000e+00
7.94328234724276e-02	-1.01604360566129e+03,-0.00000000000000e+00
8.12830516164094e-02	-1.01604360566129e+03,-0.00000000000000e+00
8.31763771102666e-02	-1.01604360566129e+03,-0.00000000000000e+00
8.51138038202371e-02	-1.01604360566129e+03,-0.00000000000000e+00
8.70963589956075e-02	-1.01604360566129e+03,-0.00000000000000e+00
8.91250938133740e-02	-1.01604360566129e+03,-0.00000000000000e+00
9.12010839355904e-02	-1.01604360566129e+03,-0.00000000000000e+00
9.33254300796985e-02	-1.01604360566129e+03,-0.00000000000000e+00
9.54992586021430e-02	-1.01604360566129e+03,-0.00000000000000e+00
9.77237220955804e-02	-1.01604360566129e+03,-0.00000000000000e+00
9.99999999999993e-02	-1.01604360566129e+03,-0.00000000000000e+00
1.02329299228075e-01	-1.01604360566129e+03,-0.00000000000000e+00
1.04712854805089e-01	-1.01604360566129e+03,-0.00000000000000e+00
1.07151930523760e-01	-1.01604360566129e+03,-0.00000000000000e+00
1.09647819614318e-01	-1.01604360566129e+03,-0.00000000000000e+00
1.12201845430196e-01	-1.01604360566129e+03,-0.00000000000000e+00
1.14815362149687e-01	-1.01604360566129e+03,-0.00000000000000e+00
1.17489755493952e-01	-1.01604360566129e+03,-0.00000000000000e+00
1.20226443461740e-01	-1.01604360566129e+03,-0.00000000000000e+00
1.23026877081237e-01	-1.01604360566129e+03,-0.00000000000000e+00
1.25892541179416e-01	-1.01604360566129e+03,-0.00000000000000e+00
1.28824955169312e-01	-1.01604360566129e+03,-0.00000000000000e+00
1.31825673855640e-01	-1.01604360566129e+03,-0.00000000000000e+00
1.34896288259164e-01	-1.01604360566129e+03,-0.00000000000000e+00
1.38038426460287e-01	-1.01604360566129e+03,-0.00000000000000e+00
1.41253754462274e-01	-1.01604360566129e+03,-0.00000000000000e+00
1.44543977074592e-01	-1.01604360566129e+03,-0.00000000000000e+00
1.47910838816820e-01	-1.01604360566129e+03,-0.00000000000000e+00
1.51356124843620e-01	-1.01604360566129e+03,-0.00000000000000e+00
1.54881661891247e-01	-1.01604360566129e+03,-0.00000000000000e+00
1.58489319246110e-01	-1.01604360566129e+03,-0.00000000000000e+00
1.62181009735892e-01	-1.01604360566129e+03,-0.00000000000000e+00
1.65958690743755e-01	-1.01604360566129e+03,-0.00000000000000e+00
1.69824365246173e-01	-1.01604360566129e+03,-0.00000000000000e+00
1.73780082874936e-01	-1.01604360566129e+03,-0.00000000000000e+00
1.77827941003891e-01	-1.01604360566129e+03,-0.00000000000000e+00
1.81970085860997e-01	-1.01604360566129e+03,-0.00000000000000e+00
1.86208713666285e-01	-1.01604360566129e+03,-0.00000000000000e+00
1.90546071796323e-01	-1.01604360566129e+03,-0.00000000000000e+00
1.94984459975803e-01	-1.01604360566129e+03,-0.00000000000000e+00
1.99526231496886e-01	-1.01604360566129e+03,-0.00000000000000e+00
2.04173794466951e-01	-1.01604360566129e+03,-0.00000000000000e+00
2.08929613085402e-01	-1.01604360566129e+03,-0.00000000000000e+00
2.13796208950222e-01	-1.01604360566129e+03,-0.00000000000000e+00
2.18776162394954e-01	-1.01604360566129e+03,-0.00000000000000e+00
2.23872113856832e-01	-1.01604360566129e+03,-0.00000000000000e+00
2.29086765276776e-01	-1.01604360566129e+03,-0.00000000000000e+00
2.34422881531990e-01	-1.01604360566129e+03,-0.00000000000000e+00
2.39883291901947e-01	-1.01604360566129e+03,-0.00000000000000e+00
2.45470891568501e-01	-1.01604360566129e+03,-0.00000000000000e+00
2.51188643150956e-01	-1.01604360566129e+03,-0.00000000000000e+00
2.57039578276884e-01	-1.01604360566129e+03,-0.00000000000000e+00
2.63026799189536e-01	-1.01604360566129e+03,-0.00000000000000e+00
2.69153480392689e-01	-1.01604360566129e+03,-0.00000000000000e+00
2.75422870333815e-01	-1.01604360566129e+03,-0.00000000000000e+00
2.81838293126443e-01	-1.01604360566129e+03,-0.00000000000000e+00
2.88403150312658e-01	-1.01604360566129e+03,-0.00000000000000e+00
2.95120922666636e-01	-1.01604360566129e+03,-0.00000000000000e+00
3.01995172040199e-01	-1.01604360566129e+03,-0.00000000000000e+00
3.09029543251357e-01	-1.01604360566129e+03,-0.00000000000000e+00
3.16227766016835e-01	-1.01604360566129e+03,-0.00000000000000e+00
3.23593656929626e-01	-1.01604360566129e+03,-0.00000000000000e+00
3.31131121482588e-01	-1.01604360566129e+03,-0.00000000000000e+00
3.38844156139200e-01	-1.01604360566129e+03,-0.00000000000000e+00
3.46736850452529e-01	-1.01604360566129e+03,-0.00000000000000e+00
3.54813389233573e-01	-1.01604360566129e+03,-0.00000000000000e+00
3.63078054770098e-01	-1.01604360566129e+03,-0.00000000000000e+00
3.71535229097170e-01	-1.01604360566129e+03,-0.00000000000000e+00
3.80189396320558e-01	-1.01604360566129e+03,-0.00000000000000e+00
3.89045144994277e-01	-1.01604360566129e+03,-0.00000000000000e+00
3.98107170553494e-01	-1.01604360566129e+03,-0.00000000000000e+00
4.07380277804109e-01	-1.01604360566129e+03,-0.00000000000000e+00
4.16869383470332e-01	-1.01604360566129e+03,-0.00000000000000e+00
4.26579518801589e-01	-1.01604360566129e+03,-0.00000000000000e+00
4.36515832240162e-01	-1.01604360566129e+03,-0.00000000000000e+00
4.46683592150959e-01	-1.01604360566129e+03,-0.00000000000000e+00
4.57088189614871e-01	-1.01604360566129e+03,-0.00000000000000e+00
4.67735141287194e-01	-1.01604360566129e+03,-0.00000000000000e+00
4.78630092322634e-01	-1.01604360566129e+03,-0.00000000000000e+00
4.89778819368442e-01	-1.01604360566129e+03,-0.00000000000000e+00
5.01187233627268e-01	-1.01604360566129e+03,-0.00000000000000e+00
5.12861383991360e-01	-1.01604360566129e+03,-0.00000000000000e+00
5.24807460249768e-01	-1.01604360566129e+03,-0.00000000000000e+00
5.37031796370248e-01	-1.01604360566129e+03,-0.00000000000000e+00
5.49540873857620e-01	-1.01604360566129e+03,-0.00000000000000e+00
5.62341325190344e-01	-1.01604360566129e+03,-0.00000000000000e+00
5.75439937337152e-01	-1.01604360566129e+03,-0.00000000000000e+00
5.88843655355584e-01	-1.01604360566129e+03,-0.00000000000000e+00
6.02559586074352e-01	-1.01604360566129e+03,-0.00000000000000e+00
6.16595001861477e-01	-1.01604360566129e+03,-0.00000000000000e+00
6.30957344480188e-01	-1.01604360566129e+03,-0.00000000000000e+00
6.45654229034650e-01	-1.01604360566129e+03,-0.00000000000000e+00
6.60693448007590e-01	-1.01604360566129e+03,-0.00000000000000e+00
6.76082975391976e-01	-1.01604360566129e+03,-0.00000000000000e+00
6.91830970918930e-01	-1.01604360566129e+03,-0.00000000000000e+00
7.07945784384132e-01	-1.01604360566129e+03,-0.00000000000000e+00
7.24435960074984e-01	-1.01604360566129e+03,-0.00000000000000e+00
7.41310241300911e-01	-1.01604360566129e+03,-0.00000000000000e+00
7.58577575029177e-01	-1.01604360566129e+03,-0.00000000000000e+00
7.76247116628685e-01	-1.01604360566129e+03,-0.00000000000000e+00
7.94328234724274e-01	-1.01604360566129e+03,-0.00000000000000e+00
8.12830516164092e-01	-1.01604360566129e+03,-0.00000000000000e+00
8.31763771102663e-01	-1.01604360566129e+03,-0.00000000000000e+00
8.51138038202369e-01	-1.01604360566129e+03,-0.00000000000000e+00
8.70963589956073e-01	-1.01604360566129e+03,-0.00000000000000e+00
8.91250938133737e-01	-1.01604360566129e+03,-0.00000000000000e+00
9.12010839355901e-01	-1.01604360566129e+03,-0.00000000000000e+00
9.33254300796982e-01	-1.01604360566129e+03,-0.00000000000000e+00
9.54992586021427e-01	-1.01604360566129e+03,-0.00000000000000e+00
9.77237220955801e-01	-1.01604360566129e+03,-0.00000000000000e+00
9.99999999999990e-01	-1.01604360566129e+03,-0.00000000000000e+00
1.02329299228074e+00	-1.01604360566129e+03,-0.00000000000000e+00
1.04712854805089e+00	-1.01604360566129e+03,-0.00000000000000e+00
1.07151930523760e+00	-1.01604360566129e+03,-0.00000000000000e+00
1.09647819614317e+00	-1.01604360566129e+03,-0.00000000000000e+00
1.12201845430195e+00	-1.01604360566129e+03,-0.00000000000000e+00
1.14815362149687e+00	-1.01604360566129e+03,-0.00000000000000e+00
1.17489755493952e+00	-1.01604360566129e+03,-0.00000000000000e+00
1.20226443461740e+00	-1.01604360566129e+03,-0.00000000000000e+00
1.23026877081237e+00	-1.01604360566129e+03,-0.00000000000000e+00
1.25892541179415e+00	-1.01604360566129e+03,-0.00000000000000e+00
1.28824955169312e+00	-1.01604360566129e+03,-0.00000000000000e+00
1.31825673855639e+00	-1.01604360566129e+03,-0.00000000000000e+00
1.34896288259164e+00	-1.01604360566129e+03,-0.00000000000000e+00
1.38038426460287e+00	-1.01604360566129e+03,-0.00000000000000e+00
1.41253754462274e+00	-1.01604360566129e+03,-0.00000000000000e+00
1.44543977074591e+00	-1.01604360566129e+03,-0.00000000000000e+00
1.47910838816819e+00	-1.01604360566129e+03,-0.00000000000000e+00
1.51356124843619e+00	-1.01604360566129e+03,-0.00000000000000e+00
1.54881661891247e+00	-1.01604360566129e+03,-0.00000000000000e+00
1.58489319246110e+00	-1.01604360566129e+03,-0.00000000000000e+00
1.62181009735891e+00	-1.01604360566129e+03,-0.00000000000000e+00
1.65958690743754e+00	-1.01604360566129e+03,-0.00000000000000e+00
1.69824365246173e+00	-1.01604360566129e+03,-0.00000000000000e+00
1.73780082874936e+00	-1.01604360566129e+03,-0.00000000000000e+00
1.77827941003890e+00	-1.01604360566129e+03,-0.00000000000000e+00
1.81970085860996e+00	-1.01604360566129e+03,-0.00000000000000e+00
1.86208713666285e+00	-1.01604360566129e+03,-0.00000000000000e+00
1.90546071796323e+00	-1.01604360566129e+03,-0.00000000000000e+00
1.94984459975802e+00	-1.01604360566129e+03,-0.00000000000000e+00
1.99526231496886e+00	-1.01604360566129e+03,-0.00000000000000e+00
2.04173794466951e+00	-1.01604360566129e+03,-0.00000000000000e+00
2.08929613085402e+00	-1.01604360566129e+03,-0.00000000000000e+00
2.13796208950221e+00	-1.01604360566129e+03,-0.00000000000000e+00
2.18776162394953e+00	-1.01604360566129e+03,-0.00000000000000e+00
2.23872113856832e+00	-1.01604360566129e+03,-0.00000000000000e+00
2.29086765276775e+00	-1.01604360566129e+03,-0.00000000000000e+00
2.34422881531990e+00	-1.01604360566129e+03,-0.00000000000000e+00
2.39883291901946e+00	-1.01604360566129e+03,-0.00000000000000e+00
2.45470891568500e+00	-1.01604360566129e+03,-0.00000000000000e+00
2.51188643150955e+00	-1.01604360566129e+03,-0.00000000000000e+00
2.57039578276884e+00	-1.01604360566129e+03,-0.00000000000000e+00
2.63026799189535e+00	-1.01604360566129e+03,-0.00000000000000e+00
2.69153480392689e+00	-1.01604360566129e+03,-0.00000000000000e+00
2.75422870333814e+00	-1.01604360566129e+03,-0.00000000000000e+00
2.81838293126442e+00	-1.01604360566129e+03,-0.00000000000000e+00
2.88403150312657e+00	-1.01604360566129e+03,-0.00000000000000e+00
2.95120922666635e+00	-1.01604360566129e+03,-0.00000000000000e+00
3.01995172040198e+00	-1.01604360566129e+03,-0.00000000000000e+00
3.09029543251355e+00	-1.01604360566129e+03,-0.00000000000000e+00
3.16227766016834e+00	-1.01604360566129e+03,-0.00000000000000e+00
3.23593656929624e+00	-1.01604360566129e+03,-0.00000000000000e+00
3.31131121482587e+00	-1.01604360566129e+03,-0.00000000000000e+00
3.38844156139199e+00	-1.01604360566129e+03,-0.00000000000000e+00
3.46736850452528e+00	-1.01604360566129e+03,-0.00000000000000e+00
3.54813389233571e+00	-1.01604360566129e+03,-0.00000000000000e+00
3.63078054770097e+00	-1.01604360566129e+03,-0.00000000000000e+00
3.71535229097168e+00	-1.01604360566129e+03,-0.00000000000000e+00
3.80189396320557e+00	-1.01604360566129e+03,-0.00000000000000e+00
3.89045144994276e+00	-1.01604360566129e+03,-0.00000000000000e+00
3.98107170553492e+00	-1.01604360566129e+03,-0.00000000000000e+00
4.07380277804108e+00	-1.01604360566129e+03,-0.00000000000000e+00
4.16869383470330e+00	-1.01604360566129e+03,-0.00000000000000e+00
4.26579518801587e+00	-1.01604360566129e+03,-0.00000000000000e+00
4.36515832240161e+00	-1.01604360566129e+03,-0.00000000000000e+00
4.46683592150958e+00	-1.01604360566129e+03,-0.00000000000000e+00
4.57088189614869e+00	-1.01604360566129e+03,-0.00000000000000e+00
4.67735141287192e+00	-1.01604360566129e+03,-0.00000000000000e+00
4.78630092322632e+00	-1.01604360566129e+03,-0.00000000000000e+00
4.89778819368440e+00	-1.01604360566129e+03,-0.00000000000000e+00
5.01187233627266e+00	-1.01604360566129e+03,-0.00000000000000e+00
5.12861383991358e+00	-1.01604360566129e+03,-0.00000000000000e+00
5.24807460249766e+00	-1.01604360566129e+03,-0.00000000000000e+00
5.37031796370246e+00	-1.01604360566129e+03,-0.00000000000000e+00
5.49540873857618e+00	-1.01604360566129e+03,-0.00000000000000e+00
5.62341325190342e+00	-1.01604360566129e+03,-0.00000000000000e+00
5.75439937337150e+00	-1.01604360566129e+03,-0.00000000000000e+00
5.88843655355581e+00	-1.01604360566129e+03,-0.00000000000000e+00
6.02559586074350e+00	-1.01604360566129e+03,-0.00000000000000e+00
6.16595001861474e+00	-1.01604360566129e+03,-0.00000000000000e+00
6.30957344480185e+00	-1.01604360566129e+03,-0.00000000000000e+00
6.45654229034647e+00	-1.01604360566129e+03,-0.00000000000000e+00
6.60693448007587e+00	-1.01604360566129e+03,-0.00000000000000e+00
6.76082975391973e+00	-1.01604360566129e+03,-0.00000000000000e+00
6.91830970918928e+00	-1.01604360566129e+03,-0.00000000000000e+00
7.07945784384129e+00	-1.01604360566129e+03,-0.00000000000000e+00
7.24435960074981e+00	-1.01604360566129e+03,-0.00000000000000e+00
7.41310241300908e+00	-1.01604360566129e+03,-0.00000000000000e+00
7.58577575029174e+00	-1.01604360566129e+03,-0.00000000000000e+00
7.76247116628682e+00	-1.01604360566129e+03,-0.00000000000000e+00
7.94328234724271e+00	-1.01604360566129e+03,-0.00000000000000e+00
8.12830516164089e+00	-1.01604360566129e+03,-0.00000000000000e+00
8.31763771102660e+00	-1.01604360566129e+03,-0.00000000000000e+00
8.51138038202365e+00	-1.01604360566129e+03,-0.00000000000000e+00
8.70963589956069e+00	-1.01604360566129e+03,-0.00000000000000e+00
8.91250938133734e+00	-1.01604360566129e+03,-0.00000000000000e+00
9.12010839355898e+00	-1.01604360566129e+03,-0.00000000000000e+00
9.33254300796979e+00	-1.01604360566129e+03,-0.00000000000000e+00
