time	V(vin)	V(vout)
1.988246428721011e-03	-7.292399e-04	3.251138e+00
1.999407143006725e-03	-3.381978e-05	3.245134e+00
2.010567857292440e-03	6.600685e-04	3.239145e+00
2.021728571578154e-03	1.352425e-03	3.233174e+00
2.032889285863868e-03	2.043249e-03	3.227218e+00
2.044050000149582e-03	2.732542e-03	3.221279e+00
2.073346875149581e-03	4.447114e-03	3.206523e+00
2.102643750149580e-03	6.011423e-03	3.193089e+00
2.131940625149580e-03	7.372611e-03	3.181435e+00
2.151471875149579e-03	8.144182e-03	3.174854e+00
2.171003125149579e-03	8.793256e-03	3.169343e+00
2.190534375149579e-03	9.310072e-03	3.164987e+00
2.210065625149578e-03	9.686857e-03	3.161851e+00
2.229596875149578e-03	9.917941e-03	3.159984e+00
2.249128125149577e-03	9.999850e-03	3.159414e+00
2.268659375149577e-03	9.931352e-03	3.160150e+00
2.288190625149576e-03	9.713477e-03	3.162181e+00
2.307721875149576e-03	9.349504e-03	3.165475e+00
2.327253125149576e-03	8.844904e-03	3.169982e+00
2.346784375149575e-03	8.207269e-03	3.175634e+00
2.376081250149575e-03	7.022867e-03	3.186063e+00
2.405378125149574e-03	5.601168e-03	3.198512e+00
2.434675000149573e-03	3.990212e-03	3.212555e+00
2.463971875149573e-03	2.244430e-03	3.227713e+00
2.475132589435287e-03	1.547530e-03	3.233749e+00
2.486293303721001e-03	8.515632e-04	3.239768e+00
2.497454018006715e-03	1.565282e-04	3.245770e+00
2.508614732292429e-03	-5.375747e-04	3.251757e+00
2.519775446578143e-03	-1.230746e-03	3.257727e+00
2.530936160863857e-03	-1.922984e-03	3.263681e+00
2.542096875149571e-03	-2.614291e-03	3.269618e+00
2.571393750149570e-03	-4.336866e-03	3.284373e+00
2.600690625149570e-03	-5.912903e-03	3.297817e+00
2.629987500149569e-03	-7.289148e-03	3.309500e+00
2.649518750149569e-03	-8.072359e-03	3.316115e+00
2.669050000149568e-03	-8.734155e-03	3.321674e+00
2.688581250149568e-03	-9.264580e-03	3.326096e+00
2.708112500149568e-03	-9.655658e-03	3.329315e+00
2.727643750149567e-03	-9.901505e-03	3.331283e+00
2.747175000149567e-03	-9.998425e-03	3.331972e+00
2.766706250149566e-03	-9.944959e-03	3.331371e+00
2.786237500149566e-03	-9.741911e-03	3.329489e+00
2.805768750149565e-03	-9.392336e-03	3.326354e+00
2.825300000149565e-03	-8.901492e-03	3.322012e+00
2.844831250149565e-03	-8.276761e-03	3.316528e+00
2.864362500149564e-03	-7.527540e-03	3.309981e+00
2.893659375149564e-03	-6.195410e-03	3.298387e+00
2.922956250149563e-03	-4.653944e-03	3.285011e+00
2.952253125149562e-03	-2.955226e-03	3.270302e+00
2.963413839435276e-03	-2.270029e-03	3.264376e+00
2.974574553720990e-03	-1.582167e-03	3.258430e+00
2.985735268006704e-03	-8.916375e-04	3.252464e+00
2.996895982292419e-03	-1.984417e-04	3.246478e+00
3.008056696578133e-03	4.974207e-04	3.240472e+00
3.019217410863847e-03	1.195950e-03	3.234446e+00
3.030378125149561e-03	1.897145e-03	3.228400e+00
3.059675000149560e-03	3.662251e-03	3.213197e+00
3.088971875149559e-03	5.303614e-03	3.199087e+00
3.118268750149559e-03	6.765772e-03	3.186548e+00
3.147565625149558e-03	7.999321e-03	3.176011e+00
3.167096875149558e-03	8.673738e-03	3.170279e+00
3.186628125149557e-03	9.217693e-03	3.165686e+00
3.206159375149557e-03	9.623005e-03	3.162302e+00
3.225690625149556e-03	9.883579e-03	3.160178e+00
3.245221875149556e-03	9.995494e-03	3.159348e+00
3.264753125149556e-03	9.957068e-03	3.159823e+00
3.284284375149555e-03	9.768877e-03	3.161597e+00
3.303815625149555e-03	9.433755e-03	3.164642e+00
3.323346875149554e-03	8.956740e-03	3.168911e+00
3.342878125149554e-03	8.345006e-03	3.174340e+00
3.362409375149554e-03	7.607757e-03	3.180846e+00
3.391706250149553e-03	6.291271e-03	3.192402e+00
3.421003125149552e-03	4.762209e-03	3.205758e+00
3.450300000149552e-03	3.072237e-03	3.220459e+00
3.461460714435266e-03	2.389355e-03	3.226383e+00
3.472621428720980e-03	1.703207e-03	3.232327e+00
3.483782143006694e-03	1.013793e-03	3.238291e+00
3.494942857292408e-03	3.211143e-04	3.244276e+00
3.506103571578122e-03	-3.748302e-04	3.250280e+00
3.517264285863836e-03	-1.074040e-03	3.256304e+00
3.528425000149550e-03	-1.776516e-03	3.262348e+00
3.557721875149549e-03	-3.547786e-03	3.277548e+00
3.587018750149549e-03	-5.199180e-03	3.291663e+00
3.616315625149548e-03	-6.674899e-03	3.304221e+00
