Freq.	V(vcap)
8.70963589956079e+06	(-1.29865728938732e-02dB,-3.13234456010369e+00°)
8.91250938133743e+06	(-1.35976540567561e-02dB,-3.20515584399172e+00°)
9.12010839355908e+06	(-1.42374424439016e-02dB,-3.27965239234684e+00°)
9.33254300796989e+06	(-1.49072821250341e-02dB,-3.35587269613590e+00°)
9.54992586021434e+06	(-1.56085796635306e-02dB,-3.43385608867479e+00°)
9.77237220955808e+06	(-1.63428069802487e-02dB,-3.51364276142128e+00°)
9.99999999999998e+06	(-1.71115043445809e-02dB,-3.59527377986817e+00°)
1.02329299228075e+07	(-1.79162834979784e-02dB,-3.67879109952035e+00°)
1.04712854805090e+07	(-1.87588309153721e-02dB,-3.76423758193832e+00°)
1.07151930523760e+07	(-1.96409112101449e-02dB,-3.85165701082861e+00°)
1.09647819614318e+07	(-2.05643706884334e-02dB,-3.94109410815992e+00°)
1.12201845430196e+07	(-2.15311410587516e-02dB,-4.03259455028167e+00°)
1.14815362149688e+07	(-2.25432433031180e-02dB,-4.12620498401976e+00°)
1.17489755493953e+07	(-2.36027917160236e-02dB,-4.22197304272188e+00°)
1.20226443461741e+07	(-2.47119981178206e-02dB,-4.31994736222231e+00°)
1.23026877081238e+07	(-2.58731762491900e-02dB,-4.42017759669376e+00°)
1.25892541179416e+07	(-2.70887463536605e-02dB,-4.52271443435096e+00°)
1.28824955169313e+07	(-2.83612399551802e-02dB,-4.62760961296763e+00°)
1.31825673855640e+07	(-2.96933048380504e-02dB,-4.73491593516568e+00°)
1.34896288259165e+07	(-3.10877102365721e-02dB,-4.84468728343187e+00°)
1.38038426460288e+07	(-3.25473522419918e-02dB,-4.95697863481387e+00°)
1.41253754462275e+07	(-3.40752594344551e-02dB,-5.07184607524367e+00°)
1.44543977074592e+07	(-3.56745987477716e-02dB,-5.18934681343272e+00°)
1.47910838816820e+07	(-3.73486815749729e-02dB,-5.30953919427840e+00°)
1.51356124843620e+07	(-3.91009701227003e-02dB,-5.43248271171750e+00°)
1.54881661891248e+07	(-4.09350840225544e-02dB,-5.55823802095737e+00°)
1.58489319246111e+07	(-4.28548072076163e-02dB,-5.68686695001036e+00°)
1.62181009735892e+07	(-4.48640950623596e-02dB,-5.81843251045210e+00°)
1.65958690743756e+07	(-4.69670818541792e-02dB,-5.95299890731838e+00°)
1.69824365246174e+07	(-4.91680884547578e-02dB,-6.09063154804951e+00°)
1.73780082874937e+07	(-5.14716303594254e-02dB,-6.23139705038509e+00°)
1.77827941003892e+07	(-5.38824260125517e-02dB,-6.37536324910513e+00°)
1.81970085860998e+07	(-5.64054054468323e-02dB,-6.52259920150711e+00°)
1.86208713666286e+07	(-5.90457192442410e-02dB,-6.67317519150083e+00°)
1.90546071796324e+07	(-6.18087478260294e-02dB,-6.82716273219597e+00°)
1.94984459975804e+07	(-6.47001110789151e-02dB,-6.98463456684866e+00°)
1.99526231496887e+07	(-6.77256783242139e-02dB,-7.14566466802578e+00°)
2.04173794466952e+07	(-7.08915786361935e-02dB,-7.31032823483665e+00°)
2.08929613085403e+07	(-7.42042115153458e-02dB,-7.47870168807299e+00°)
2.13796208950223e+07	(-7.76702579217383e-02dB,-7.65086266308871e+00°)
2.18776162394955e+07	(-8.12966916727484e-02dB,-7.82689000024147e+00°)
2.23872113856833e+07	(-8.50907912087429e-02dB,-8.00686373270784e+00°)
2.29086765276777e+07	(-8.90601517292219e-02dB,-8.19086507147383e+00°)
2.34422881531991e+07	(-9.32126977009192e-02dB,-8.37897638729182e+00°)
2.39883291901948e+07	(-9.75566957380725e-02dB,-8.57128118938414e+00°)
2.45470891568502e+07	(-1.02100767853744e-01dB,-8.76786410066251e+00°)
2.51188643150957e+07	(-1.06853905079451e-01dB,-8.96881082922129e+00°)
2.57039578276885e+07	(-1.11825481448761e-01dB,-9.17420813585108e+00°)
2.63026799189537e+07	(-1.17025268338493e-01dB,-9.38414379730773e+00°)
2.69153480392691e+07	(-1.22463449159117e-01dB,-9.59870656506036e+00°)
2.75422870333816e+07	(-1.28150634383644e-01dB,-9.81798611923046e+00°)
2.81838293126444e+07	(-1.34097876901685e-01dB,-1.00420730174230e+01°)
2.88403150312660e+07	(-1.40316687682656e-01dB,-1.02710586381389e+01°)
2.95120922666637e+07	(-1.46819051729000e-01dB,-1.05050351184489e+01°)
3.01995172040200e+07	(-1.53617444297025e-01dB,-1.07440952855960e+01°)
3.09029543251358e+07	(-1.60724847359356e-01dB,-1.09883325821872e+01°)
3.16227766016837e+07	(-1.68154766279123e-01dB,-1.12378409846241e+01°)
3.23593656929627e+07	(-1.75921246661841e-01dB,-1.14927149144147e+01°)
3.31131121482590e+07	(-1.84038891346375e-01dB,-1.17530491420027e+01°)
3.38844156139201e+07	(-1.92522877491628e-01dB,-1.20189386827439e+01°)
3.46736850452530e+07	(-2.01388973710393e-01dB,-1.22904786846573e+01°)
3.54813389233574e+07	(-2.10653557196318e-01dB,-1.25677643075742e+01°)
3.63078054770100e+07	(-2.20333630784086e-01dB,-1.28508905933113e+01°)
3.71535229097171e+07	(-2.30446839876772e-01dB,-1.31399523264949e+01°)
3.80189396320560e+07	(-2.41011489167771e-01dB,-1.34350438856693e+01°)
3.89045144994279e+07	(-2.52046559077885e-01dB,-1.37362590843301e+01°)
3.98107170553496e+07	(-2.63571721820994e-01dB,-1.40436910015372e+01°)
4.07380277804111e+07	(-2.75607357004272e-01dB,-1.43574318017744e+01°)
4.16869383470334e+07	(-2.88174566661194e-01dB,-1.46775725437471e+01°)
4.26579518801591e+07	(-3.01295189607598e-01dB,-1.50042029778305e+01°)
4.36515832240164e+07	(-3.14991815002919e-01dB,-1.53374113319111e+01°)
4.46683592150961e+07	(-3.29287794990366e-01dB,-1.56772840854024e+01°)
4.57088189614873e+07	(-3.44207256281432e-01dB,-1.60239057312524e+01°)
4.67735141287196e+07	(-3.59775110541628e-01dB,-1.63773585258114e+01°)
4.78630092322636e+07	(-3.76017063425994e-01dB,-1.67377222264814e+01°)
4.89778819368444e+07	(-3.92959622104635e-01dB,-1.71050738171306e+01°)
5.01187233627270e+07	(-4.10630101110546e-01dB,-1.74794872213251e+01°)
5.12861383991363e+07	(-4.29056626334273e-01dB,-1.78610330035061e+01°)
5.24807460249770e+07	(-4.48268136982848e-01dB,-1.82497780583291e+01°)
5.37031796370251e+07	(-4.68294385313814e-01dB,-1.86457852884709e+01°)
5.49540873857622e+07	(-4.89165933949357e-01dB,-1.90491132713159e+01°)
5.62341325190347e+07	(-5.10914150570777e-01dB,-1.94598159150422e+01°)
5.75439937337155e+07	(-5.33571199789717e-01dB,-1.98779421047483e+01°)
5.88843655355586e+07	(-5.57170031990180e-01dB,-2.03035353393879e+01°)
6.02559586074355e+07	(-5.81744368934447e-01dB,-2.07366333604174e+01°)
6.16595001861480e+07	(-6.07328685926733e-01dB,-2.11772677732041e+01°)
6.30957344480191e+07	(-6.33958190331205e-01dB,-2.16254636623915e+01°)
6.45654229034653e+07	(-6.61668796245736e-01dB,-2.20812392025781e+01°)
6.60693448007593e+07	(-6.90497095140010e-01dB,-2.25446052658249e+01°)
6.76082975391979e+07	(-7.20480322276344e-01dB,-2.30155650276733e+01°)
6.91830970918933e+07	(-7.51656318743996e-01dB,-2.34941135735220e+01°)
7.07945784384135e+07	(-7.84063488953299e-01dB,-2.39802375073813e+01°)
7.24435960074987e+07	(-8.17740753454386e-01dB,-2.44739145651868e+01°)
7.41310241300914e+07	(-8.52727496967124e-01dB,-2.49751132350205e+01°)
7.58577575029180e+07	(-8.89063511533915e-01dB,-2.54837923867412e+01°)
7.76247116628688e+07	(-9.26788934735710e-01dB,-2.59999009136748e+01°)
7.94328234724278e+07	(-9.65944182943358e-01dB,-2.65233773891508e+01°)
8.12830516164096e+07	(-1.00656987961196e+00dB,-2.70541497407909e+01°)
8.31763771102667e+07	(-1.04870677866439e+00dB,-2.75921349455599e+01°)
8.51138038202373e+07	(-1.09239568305221e+00dB,-2.81372387486670e+01°)
8.70963589956077e+07	(-1.13767735862649e+00dB,-2.86893554094654e+01°)
8.91250938133741e+07	(-1.18459244349893e+00dB,-2.92483674775224e+01°)
9.12010839355906e+07	(-1.23318135312266e+00dB,-2.98141456020318e+01°)
9.33254300796987e+07	(-1.28348418137378e+00dB,-3.03865483777002e+01°)
9.54992586021431e+07	(-1.33554059796687e+00dB,-3.09654222301661e+01°)
9.77237220955806e+07	(-1.38938974259097e+00dB,-3.15506013438956e+01°)
9.99999999999995e+07	(-1.44507011620528e+00dB,-3.21419076353419e+01°)
1.02329299228075e+08	(-1.50261946998575e+00dB,-3.27391507739606e+01°)
1.04712854805089e+08	(-1.56207469246445e+00dB,-3.33421282534287e+01°)
1.07151930523760e+08	(-1.62347169545048e+00dB,-3.39506255151310e+01°)
1.09647819614318e+08	(-1.68684529936640e+00dB,-3.45644161256526e+01°)
1.12201845430196e+08	(-1.75222911867289e+00dB,-3.51832620096436e+01°)
1.14815362149688e+08	(-1.81965544808987e+00dB,-3.58069137390206e+01°)
1.17489755493952e+08	(-1.88915515034978e+00dB,-3.64351108790252e+01°)
1.20226443461741e+08	(-1.96075754624064e+00dB,-3.70675823911883e+01°)
1.23026877081237e+08	(-2.03449030770996e+00dB,-3.77040470927535e+01°)
1.25892541179416e+08	(-2.11037935480568e+00dB,-3.83442141715949e+01°)
1.28824955169313e+08	(-2.18844875722684e+00dB,-3.89877837551367e+01°)
1.31825673855640e+08	(-2.26872064124360e+00dB,-3.96344475312490e+01°)
1.34896288259165e+08	(-2.35121510272380e+00dB,-4.02838894185627e+01°)
1.38038426460288e+08	(-2.43595012697103e+00dB,-4.09357862831265e+01°)
1.41253754462275e+08	(-2.52294151603762e+00dB,-4.15898086978313e+01°)
1.44543977074592e+08	(-2.61220282412542e+00dB,-4.22456217405521e+01°)
1.47910838816820e+08	(-2.70374530162731e+00dB,-4.29028858265260e+01°)
1.51356124843620e+08	(-2.79757784829550e+00dB,-4.35612575700878e+01°)
1.54881661891247e+08	(-2.89370697594753e+00dB,-4.42203906705503e+01°)
1.58489319246110e+08	(-2.99213678104052e+00dB,-4.48799368167266e+01°)
1.62181009735892e+08	(-3.09286892735830e+00dB,-4.55395466043751e+01°)
1.65958690743755e+08	(-3.19590263896654e+00dB,-4.61988704606916e+01°)
1.69824365246173e+08	(-3.30123470349917e+00dB,-4.68575595698908e+01°)
1.73780082874937e+08	(-3.40885948574665e+00dB,-4.75152667939017e+01°)
1.77827941003891e+08	(-3.51876895142400e+00dB,-4.81716475822670e+01°)
1.81970085860997e+08	(-3.63095270090631e+00dB,-4.88263608654582e+01°)
1.86208713666286e+08	(-3.74539801263198e+00dB,-4.94790699260212e+01°)
1.90546071796324e+08	(-3.86208989579123e+00dB,-5.01294432422245e+01°)
1.94984459975803e+08	(-3.98101115184053e+00dB,-5.07771552992045e+01°)
1.99526231496887e+08	(-4.10214244431342e+00dB,-5.14218873629766e+01°)
2.04173794466952e+08	(-4.22546237633568e+00dB,-5.20633282131003e+01°)
2.08929613085403e+08	(-4.35094757519884e+00dB,-5.27011748302462e+01°)
2.13796208950222e+08	(-4.47857278330103e+00dB,-5.33351330354059e+01°)
2.18776162394954e+08	(-4.60831095472873e+00dB,-5.39649180779947e+01°)
2.23872113856833e+08	(-4.74013335672670e+00dB,-5.45902551706281e+01°)
2.29086765276776e+08	(-4.87400967528713e+00dB,-5.52108799688862e+01°)
2.34422881531991e+08	(-5.00990812408211e+00dB,-5.58265389949089e+01°)
2.39883291901947e+08	(-5.14779555596533e+00dB,-5.64369900041899e+01°)
2.45470891568501e+08	(-5.28763757627975e+00dB,-5.70420022954393e+01°)
2.51188643150956e+08	(-5.42939865722652e+00dB,-5.76413569638676e+01°)
2.57039578276885e+08	(-5.57304225257635e+00dB,-5.82348470986973e+01°)
2.63026799189536e+08	(-5.71853091203683e+00dB,-5.88222779261265e+01°)
2.69153480392690e+08	(-5.86582639462728e+00dB,-5.94034668993517e+01°)
2.75422870333815e+08	(-6.01488978045529e+00dB,-5.99782437376010e+01°)
2.81838293126444e+08	(-6.16568158033568e+00dB,-6.05464504164262e+01°)
2.88403150312659e+08	(-6.31816184274214e+00dB,-6.11079411117627e+01°)
2.95120922666637e+08	(-6.47229025763301e+00dB,-6.16625821004770e+01°)
3.01995172040200e+08	(-6.62802625674568e+00dB,-6.22102516202961e+01°)
3.09029543251357e+08	(-6.78532911000688e+00dB,-6.27508396921371e+01°)
3.16227766016836e+08	(-6.94415801775896e+00dB,-6.32842479079492e+01°)
3.23593656929626e+08	(-7.10447219855411e+00dB,-6.38103891872284e+01°)
3.31131121482589e+08	(-7.26623097231856e+00dB,-6.43291875053805e+01°)
3.38844156139200e+08	(-7.42939383873717e+00dB,-6.48405775970929e+01°)
3.46736850452529e+08	(-7.59392055075414e+00dB,-6.53445046378283e+01°)
3.54813389233573e+08	(-7.75977118312906e+00dB,-6.58409239064812e+01°)
3.63078054770099e+08	(-7.92690619602671e+00dB,-6.63298004321431e+01°)
3.71535229097170e+08	(-8.09528649365606e+00dB,-6.68111086278092e+01°)
3.80189396320559e+08	(-8.26487347800697e+00dB,-6.72848319137268e+01°)
3.89045144994278e+08	(-8.43562909776280e+00dB,-6.77509623329436e+01°)
3.98107170553495e+08	(-8.60751589249374e+00dB,-6.82095001614600e+01°)
4.07380277804110e+08	(-8.78049703225827e+00dB,-6.86604535152295e+01°)
4.16869383470333e+08	(-8.95453635276039e+00dB,-6.91038379560842e+01°)
4.26579518801590e+08	(-9.12959838622623e+00dB,-6.95396760984966e+01°)
4.36515832240163e+08	(-9.30564838817771e+00dB,-6.99679972189200e+01°)
4.46683592150960e+08	(-9.48265236029124e+00dB,-7.03888368692821e+01°)
4.57088189614872e+08	(-9.66057706953787e+00dB,-7.08022364960475e+01°)
4.67735141287195e+08	(-9.83939006380668e+00dB,-7.12082430660998e+01°)
4.78630092322635e+08	(-1.00190596842168e+01dB,-7.16069087005485e+01°)
4.89778819368443e+08	(-1.01995550743250e+01dB,-7.19982903174131e+01°)
5.01187233627269e+08	(-1.03808461864352e+01dB,-7.23824492840033e+01°)
5.12861383991361e+08	(-1.05629037852148e+01dB,-7.27594510796801e+01°)
5.24807460249769e+08	(-1.07456994488183e+01dB,-7.31293649695614e+01°)
5.37031796370249e+08	(-1.09292055677166e+01dB,-7.34922636896224e+01°)
5.49540873857621e+08	(-1.11133953414213e+01dB,-7.38482231435338e+01°)
5.62341325190345e+08	(-1.12982427732914e+01dB,-7.41973221114861e+01°)
5.75439937337153e+08	(-1.14837226635983e+01dB,-7.45396419711596e+01°)
5.88843655355585e+08	(-1.16698106010209e+01dB,-7.48752664309179e+01°)
6.02559586074353e+08	(-1.18564829527340e+01dB,-7.52042812752342e+01°)
6.16595001861478e+08	(-1.20437168532424e+01dB,-7.55267741222926e+01°)
6.30957344480189e+08	(-1.22314901921096e+01dB,-7.58428341936502e+01°)
6.45654229034651e+08	(-1.24197816007166e+01dB,-7.61525520957980e+01°)
6.60693448007591e+08	(-1.26085704381809e+01dB,-7.64560196134115e+01°)
6.76082975391977e+08	(-1.27978367765571e+01dB,-7.67533295140489e+01°)
6.91830970918931e+08	(-1.29875613854309e+01dB,-7.70445753640183e+01°)
7.07945784384133e+08	(-1.31777257160113e+01dB,-7.73298513551138e+01°)
7.24435960074985e+08	(-1.33683118848186e+01dB,-7.76092521418948e+01°)
7.41310241300912e+08	(-1.35593026570567e+01dB,-7.78828726891680e+01°)
7.58577575029178e+08	(-1.37506814297514e+01dB,-7.81508081293165e+01°)
7.76247116628686e+08	(-1.39424322147307e+01dB,-7.84131536291127e+01°)
7.94328234724276e+08	(-1.41345396215153e+01dB,-7.86700042656433e+01°)
8.12830516164093e+08	(-1.43269888401801e+01dB,-7.89214549109728e+01°)
8.31763771102665e+08	(-1.45197656242447e+01dB,-7.91676001251685e+01°)
8.51138038202370e+08	(-1.47128562736426e+01dB,-7.94085340573145e+01°)
8.70963589956074e+08	(-1.49062476178134e+01dB,-7.96443503541422e+01°)
8.91250938133739e+08	(-1.50999269989601e+01dB,-7.98751420759109e+01°)
9.12010839355903e+08	(-1.52938822555061e+01dB,-8.01010016191796e+01°)
9.33254300796984e+08	(-1.54881017057826e+01dB,-8.03220206461155e+01°)
9.54992586021429e+08	(-1.56825741319757e+01dB,-8.05382900199967e+01°)
9.77237220955803e+08	(-1.58772887643551e+01dB,-8.07498997465732e+01°)
9.99999999999992e+08	(-1.60722352658055e+01dB,-8.09569389209622e+01°)
1.02329299228075e+09	(-1.62674037166774e+01dB,-8.11594956797628e+01°)
1.04712854805089e+09	(-1.64627845999726e+01dB,-8.13576571580873e+01°)
1.07151930523760e+09	(-1.66583687868743e+01dB,-8.15515094512173e+01°)
1.09647819614318e+09	(-1.68541475226330e+01dB,-8.17411375806033e+01°)
1.12201845430195e+09	(-1.70501124128131e+01dB,-8.19266254639391e+01°)
1.14815362149687e+09	(-1.72462554099079e+01dB,-8.21080558890536e+01°)
1.17489755493952e+09	(-1.74425688003232e+01dB,-8.22855104913734e+01°)
1.20226443461740e+09	(-1.76390451917346e+01dB,-8.24590697347210e+01°)
1.23026877081237e+09	(-1.78356775008152e+01dB,-8.26288128952265e+01°)
1.25892541179416e+09	(-1.80324589413358e+01dB,-8.27948180481373e+01°)
1.28824955169312e+09	(-1.82293830126335e+01dB,-8.29571620573263e+01°)
1.31825673855640e+09	(-1.84264434884461e+01dB,-8.31159205673053e+01°)
1.34896288259164e+09	(-1.86236344061083e+01dB,-8.32711679975619e+01°)
1.38038426460287e+09	(-1.88209500561050e+01dB,-8.34229775390488e+01°)
1.41253754462274e+09	(-1.90183849719753e+01dB,-8.35714211526625e+01°)
1.44543977074592e+09	(-1.92159339205626e+01dB,-8.37165695695578e+01°)
1.47910838816820e+09	(-1.94135918926029e+01dB,-8.38584922931539e+01°)
1.51356124843620e+09	(-1.96113540936449e+01dB,-8.39972576026955e+01°)
1.54881661891247e+09	(-1.98092159352945e+01dB,-8.41329325582408e+01°)
1.58489319246110e+09	(-2.00071730267763e+01dB,-8.42655830069553e+01°)
1.62181009735892e+09	(-2.02052211668031e+01dB,-8.43952735905996e+01°)
1.65958690743755e+09	(-2.04033563357478e+01dB,-8.45220677541025e+01°)
1.69824365246173e+09	(-2.06015746881068e+01dB,-8.46460277551229e+01°)
1.73780082874936e+09	(-2.07998725452485e+01dB,-8.47672146745038e+01°)
1.77827941003891e+09	(-2.09982463884386e+01dB,-8.48856884275343e+01°)
1.81970085860997e+09	(-2.11966928521329e+01dB,-8.50015077759358e+01°)
1.86208713666285e+09	(-2.13952087175302e+01dB,-8.51147303404970e+01°)
1.90546071796323e+09	(-2.15937909063774e+01dB,-8.52254126142871e+01°)
1.94984459975803e+09	(-2.17924364750178e+01dB,-8.53336099763803e+01°)
1.99526231496886e+09	(-2.19911426086754e+01dB,-8.54393767060296e+01°)
2.04173794466951e+09	(-2.21899066159670e+01dB,-8.55427659972336e+01°)
2.08929613085402e+09	(-2.23887259236340e+01dB,-8.56438299736424e+01°)
2.13796208950221e+09	(-2.25875980714875e+01dB,-8.57426197037527e+01°)
2.18776162394953e+09	(-2.27865207075575e+01dB,-8.58391852163469e+01°)
2.23872113856832e+09	(-2.29854915834404e+01dB,-8.59335755161334e+01°)
2.29086765276775e+09	(-2.31845085498368e+01dB,-8.60258385995486e+01°)
2.34422881531990e+09	(-2.33835695522731e+01dB,-8.61160214706846e+01°)
2.39883291901947e+09	(-2.35826726269997e+01dB,-8.62041701573085e+01°)
2.45470891568501e+09	(-2.37818158970595e+01dB,-8.62903297269437e+01°)
2.51188643150956e+09	(-2.39809975685202e+01dB,-8.63745443029826e+01°)
2.57039578276884e+09	(-2.41802159268644e+01dB,-8.64568570808068e+01°)
2.63026799189536e+09	(-2.43794693335306e+01dB,-8.65373103438891e+01°)
2.69153480392689e+09	(-2.45787562226005e+01dB,-8.66159454798570e+01°)
2.75422870333814e+09	(-2.47780750976255e+01dB,-8.66928029964955e+01°)
2.81838293126443e+09	(-2.49774245285886e+01dB,-8.67679225376729e+01°)
2.88403150312658e+09	(-2.51768031489944e+01dB,-8.68413428991722e+01°)
2.95120922666636e+09	(-2.53762096530837e+01dB,-8.69131020444123e+01°)
3.01995172040199e+09	(-2.55756427931668e+01dB,-8.69832371200467e+01°)
