Freq.	V(vout)/(V(vp)-V(vm))	(V(vp)-V(vm))/(I(R1)-I(R4))
7.58577575029180e+01	(3.99996573510096e+01dB,1.79561033671487e+02°)	(4.00867718446170e+01dB,-1.79561033671488e+02°)
7.76247116628688e+01	(3.99996453373194e+01dB,1.79550809246381e+02°)	(4.00867838583071e+01dB,-1.79550809246382e+02°)
7.94328234724277e+01	(3.99996327574772e+01dB,1.79540346693442e+02°)	(4.00867964381493e+01dB,-1.79540346693442e+02°)
8.12830516164095e+01	(3.99996195848043e+01dB,1.79529640468077e+02°)	(4.00868096108223e+01dB,-1.79529640468077e+02°)
8.31763771102667e+01	(3.99996057913652e+01dB,1.79518684896697e+02°)	(4.00868234042613e+01dB,-1.79518684896697e+02°)
8.51138038202372e+01	(3.99995913479084e+01dB,1.79507474173719e+02°)	(4.00868378477181e+01dB,-1.79507474173719e+02°)
8.70963589956076e+01	(3.99995762238039e+01dB,1.79496002358505e+02°)	(4.00868529718226e+01dB,-1.79496002358505e+02°)
8.91250938133741e+01	(3.99995603869788e+01dB,1.79484263372229e+02°)	(4.00868688086478e+01dB,-1.79484263372228e+02°)
9.12010839355905e+01	(3.99995438038489e+01dB,1.79472250994667e+02°)	(4.00868853917776e+01dB,-1.79472250994667e+02°)
9.33254300796986e+01	(3.99995264392482e+01dB,1.79459958860925e+02°)	(4.00869027563784e+01dB,-1.79459958860925e+02°)
9.54992586021431e+01	(3.99995082563534e+01dB,1.79447380458080e+02°)	(4.00869209392732e+01dB,-1.79447380458081e+02°)
9.77237220955805e+01	(3.99994892166067e+01dB,1.79434509121751e+02°)	(4.00869399790198e+01dB,-1.79434509121751e+02°)
9.99999999999995e+01	(3.99994692796340e+01dB,1.79421338032581e+02°)	(4.00869599159926e+01dB,-1.79421338032581e+02°)
1.02329299228075e+02	(3.99994484031587e+01dB,1.79407860212657e+02°)	(4.00869807924678e+01dB,-1.79407860212657e+02°)
1.04712854805089e+02	(3.99994265429130e+01dB,1.79394068521830e+02°)	(4.00870026527135e+01dB,-1.79394068521831e+02°)
