Freq.	(V(vp)-V(vm))/(I(R1)-I(R4))
1.51356124843620e+02	-1.01001040110504e+02,-1.54398444100781e+00
1.54881661891247e+02	-1.01001040110504e+02,-1.57994845867381e+00
1.58489319246110e+02	-1.01001040110505e+02,-1.61675018592569e+00
1.62181009735892e+02	-1.01001040110505e+02,-1.65440913552636e+00
1.65958690743755e+02	-1.01001040110505e+02,-1.69294527474939e+00
1.69824365246173e+02	-1.01001040110505e+02,-1.73237903596587e+00
1.73780082874936e+02	-1.01001040110504e+02,-1.77273132747796e+00
1.77827941003891e+02	-1.01001040110504e+02,-1.81402354460475e+00
1.81970085860997e+02	-1.01001040110504e+02,-1.85627758102634e+00
1.86208713666286e+02	-1.01001040110504e+02,-1.89951584039212e+00
1.90546071796323e+02	-1.01001040110504e+02,-1.94376124819954e+00
1.94984459975803e+02	-1.01001040110505e+02,-1.98903726394949e+00
1.99526231496887e+02	-1.01001040110505e+02,-2.03536789358479e+00
2.04173794466952e+02	-1.01001040110504e+02,-2.08277770221856e+00
2.08929613085403e+02	-1.01001040110505e+02,-2.13129182715886e+00
2.13796208950222e+02	-1.01001040110505e+02,-2.18093599123691e+00
2.18776162394954e+02	-1.01001040110504e+02,-2.23173651644561e+00
2.23872113856832e+02	-1.01001040110505e+02,-2.28372033789585e+00
2.29086765276776e+02	-1.01001040110504e+02,-2.33691501809786e+00
2.34422881531991e+02	-1.01001040110504e+02,-2.39134876157519e+00
2.39883291901947e+02	-1.01001040110504e+02,-2.44705042981915e+00
2.45470891568501e+02	-1.01001040110505e+02,-2.50404955659155e+00
2.51188643150956e+02	-1.01001040110505e+02,-2.56237636358386e+00
2.57039578276885e+02	-1.01001040110505e+02,-2.62206177644121e+00
2.63026799189536e+02	-1.01001040110505e+02,-2.68313744115951e+00
2.69153480392690e+02	-1.01001040110505e+02,-2.74563574086464e+00
2.75422870333815e+02	-1.01001040110505e+02,-2.80958981298237e+00
2.81838293126443e+02	-1.01001040110505e+02,-2.87503356680825e+00
2.88403150312659e+02	-1.01001040110505e+02,-2.94200170148682e+00
2.95120922666637e+02	-1.01001040110505e+02,-3.01052972440952e+00
3.01995172040200e+02	-1.01001040110505e+02,-3.08065397004117e+00
3.09029543251357e+02	-1.01001040110505e+02,-3.15241161918502e+00
3.16227766016836e+02	-1.01001040110505e+02,-3.22584071869645e+00
3.23593656929626e+02	-1.01001040110505e+02,-3.30098020165599e+00
3.31131121482589e+02	-1.01001040110505e+02,-3.37786990801209e+00
3.38844156139200e+02	-1.01001040110505e+02,-3.45655060570480e+00
3.46736850452529e+02	-1.01001040110505e+02,-3.53706401228152e+00
3.54813389233573e+02	-1.01001040110505e+02,-3.61945281701613e+00
3.63078054770099e+02	-1.01001040110505e+02,-3.70376070354344e+00
3.71535229097170e+02	-1.01001040110505e+02,-3.79003237302084e+00
3.80189396320558e+02	-1.01001040110505e+02,-3.87831356782942e+00
3.89045144994278e+02	-1.01001040110505e+02,-3.96865109582721e+00
3.98107170553494e+02	-1.01001040110505e+02,-4.06109285516732e+00
4.07380277804110e+02	-1.01001040110505e+02,-4.15568785969416e+00
4.16869383470332e+02	-1.01001040110505e+02,-4.25248626493124e+00
4.26579518801589e+02	-1.01001040110505e+02,-4.35153939467430e+00
4.36515832240163e+02	-1.01001040110505e+02,-4.45289976820384e+00
4.46683592150960e+02	-1.01001040110505e+02,-4.55662112813159e+00
4.57088189614872e+02	-1.01001040110505e+02,-4.66275846889548e+00
4.67735141287195e+02	-1.01001040110505e+02,-4.77136806591848e+00
4.78630092322635e+02	-1.01001040110505e+02,-4.88250750544656e+00
4.89778819368442e+02	-1.01001040110505e+02,-4.99623571508165e+00
5.01187233627268e+02	-1.01001040110505e+02,-5.11261299502587e+00
5.12861383991361e+02	-1.01001040110505e+02,-5.23170105005349e+00
5.24807460249769e+02	-1.01001040110505e+02,-5.35356302222760e+00
5.37031796370249e+02	-1.01001040110505e+02,-5.47826352437888e+00
5.49540873857620e+02	-1.01001040110505e+02,-5.60586867436417e+00
5.62341325190345e+02	-1.01001040110505e+02,-5.73644613012306e+00
5.75439937337152e+02	-1.01001040110505e+02,-5.87006512555098e+00
5.88843655355584e+02	-1.01001040110505e+02,-6.00679650720796e+00
6.02559586074353e+02	-1.01001040110505e+02,-6.14671277188242e+00
6.16595001861477e+02	-1.01001040110505e+02,-6.28988810502989e+00
6.30957344480188e+02	-1.01001040110505e+02,-6.43639842010715e+00
6.45654229034650e+02	-1.01001040110505e+02,-6.58632139882257e+00
6.60693448007591e+02	-1.01001040110505e+02,-6.73973653232391e+00
6.76082975391976e+02	-1.01001040110505e+02,-6.89672516334564e+00
6.91830970918931e+02	-1.01001040110505e+02,-7.05737052933794e+00
7.07945784384132e+02	-1.01001040110505e+02,-7.22175780660022e+00
7.24435960074984e+02	-1.01001040110505e+02,-7.38997415544284e+00
7.41310241300911e+02	-1.01001040110505e+02,-7.56210876640054e+00
7.58577575029177e+02	-1.01001040110505e+02,-7.73825290752253e+00
7.76247116628685e+02	-1.01001040110505e+02,-7.91849997276398e+00
7.94328234724275e+02	-1.01001040110505e+02,-8.10294553150472e+00
8.12830516164092e+02	-1.01001040110505e+02,-8.29168737922143e+00
8.31763771102664e+02	-1.01001040110505e+02,-8.48482558934006e+00
8.51138038202369e+02	-1.01001040110505e+02,-8.68246256629611e+00
8.70963589956073e+02	-1.01001040110505e+02,-8.88470309983078e+00
8.91250938133738e+02	-1.01001040110505e+02,-9.09165442055193e+00
9.12010839355902e+02	-1.01001040110505e+02,-9.30342625678913e+00
9.33254300796983e+02	-1.01001040110505e+02,-9.52013089277308e+00
9.54992586021428e+02	-1.01001040110505e+02,-9.74188322817021e+00
9.77237220955802e+02	-1.01001040110505e+02,-9.96880083900399e+00
9.99999999999991e+02	-1.01001040110505e+02,-1.02010040399953e+01
1.02329299228075e+03	-1.01001040110505e+02,-1.04386159483548e+01
1.04712854805089e+03	-1.01001040110505e+02,-1.06817625490616e+01
1.07151930523760e+03	-1.01001040110505e+02,-1.09305727616618e+01
1.09647819614318e+03	-1.01001040110505e+02,-1.11851785086234e+01
1.12201845430195e+03	-1.01001040110505e+02,-1.14457147852836e+01
1.14815362149687e+03	-1.01001040110505e+02,-1.17123197314249e+01
1.17489755493952e+03	-1.01001040110505e+02,-1.19851347045187e+01
1.20226443461740e+03	-1.01001040110505e+02,-1.22643043546749e+01
1.23026877081237e+03	-1.01001040110505e+02,-1.25499767013371e+01
1.25892541179416e+03	-1.01001040110505e+02,-1.28423032117650e+01
1.28824955169312e+03	-1.01001040110505e+02,-1.31414388813438e+01
1.31825673855640e+03	-1.01001040110505e+02,-1.34475423157649e+01
1.34896288259164e+03	-1.01001040110505e+02,-1.37607758151211e+01
1.38038426460287e+03	-1.01001040110505e+02,-1.40813054599599e+01
1.41253754462274e+03	-1.01001040110505e+02,-1.44093011993417e+01
1.44543977074591e+03	-1.01001040110506e+02,-1.47449369409491e+01
1.47910838816819e+03	-1.01001040110506e+02,-1.50883906432948e+01
1.51356124843619e+03	-1.01001040110506e+02,-1.54398444100781e+01
1.54881661891247e+03	-1.01001040110506e+02,-1.57994845867380e+01
1.58489319246110e+03	-1.01001040110506e+02,-1.61675018592568e+01
1.62181009735891e+03	-1.01001040110506e+02,-1.65440913552636e+01
1.65958690743754e+03	-1.01001040110506e+02,-1.69294527474938e+01
1.69824365246173e+03	-1.01001040110506e+02,-1.73237903596586e+01
1.73780082874936e+03	-1.01001040110506e+02,-1.77273132747795e+01
1.77827941003891e+03	-1.01001040110506e+02,-1.81402354460475e+01
1.81970085860997e+03	-1.01001040110506e+02,-1.85627758102633e+01
1.86208713666285e+03	-1.01001040110506e+02,-1.89951584039211e+01
1.90546071796323e+03	-1.01001040110506e+02,-1.94376124819954e+01
1.94984459975803e+03	-1.01001040110506e+02,-1.98903726394948e+01
1.99526231496886e+03	-1.01001040110507e+02,-2.03536789358479e+01
2.04173794466951e+03	-1.01001040110507e+02,-2.08277770221855e+01
2.08929613085402e+03	-1.01001040110507e+02,-2.13129182715885e+01
2.13796208950221e+03	-1.01001040110507e+02,-2.18093599123690e+01
2.18776162394953e+03	-1.01001040110507e+02,-2.23173651644560e+01
2.23872113856832e+03	-1.01001040110507e+02,-2.28372033789584e+01
2.29086765276775e+03	-1.01001040110507e+02,-2.33691501809785e+01
2.34422881531990e+03	-1.01001040110507e+02,-2.39134876157519e+01
2.39883291901947e+03	-1.01001040110507e+02,-2.44705042981915e+01
2.45470891568501e+03	-1.01001040110508e+02,-2.50404955659154e+01
2.51188643150955e+03	-1.01001040110508e+02,-2.56237636358385e+01
2.57039578276884e+03	-1.01001040110508e+02,-2.62206177644120e+01
2.63026799189535e+03	-1.01001040110508e+02,-2.68313744115950e+01
2.69153480392689e+03	-1.01001040110508e+02,-2.74563574086463e+01
2.75422870333814e+03	-1.01001040110508e+02,-2.80958981298236e+01
2.81838293126442e+03	-1.01001040110509e+02,-2.87503356680824e+01
2.88403150312658e+03	-1.01001040110509e+02,-2.94200170148681e+01
2.95120922666635e+03	-1.01001040110509e+02,-3.01052972440951e+01
3.01995172040198e+03	-1.01001040110509e+02,-3.08065397004116e+01
3.09029543251356e+03	-1.01001040110509e+02,-3.15241161918501e+01
3.16227766016835e+03	-1.01001040110510e+02,-3.22584071869644e+01
3.23593656929625e+03	-1.01001040110510e+02,-3.30098020165598e+01
3.31131121482588e+03	-1.01001040110510e+02,-3.37786990801207e+01
3.38844156139199e+03	-1.01001040110510e+02,-3.45655060570479e+01
3.46736850452528e+03	-1.01001040110511e+02,-3.53706401228151e+01
3.54813389233572e+03	-1.01001040110511e+02,-3.61945281701611e+01
3.63078054770097e+03	-1.01001040110511e+02,-3.70376070354342e+01
3.71535229097168e+03	-1.01001040110512e+02,-3.79003237302082e+01
3.80189396320557e+03	-1.01001040110512e+02,-3.87831356782940e+01
3.89045144994276e+03	-1.01001040110512e+02,-3.96865109582720e+01
3.98107170553493e+03	-1.01001040110513e+02,-4.06109285516731e+01
4.07380277804108e+03	-1.01001040110513e+02,-4.15568785969415e+01
4.16869383470331e+03	-1.01001040110513e+02,-4.25248626493123e+01
4.26579518801588e+03	-1.01001040110514e+02,-4.35153939467428e+01
4.36515832240161e+03	-1.01001040110514e+02,-4.45289976820383e+01
4.46683592150958e+03	-1.01001040110515e+02,-4.55662112813157e+01
4.57088189614870e+03	-1.01001040110515e+02,-4.66275846889546e+01
4.67735141287193e+03	-1.01001040110516e+02,-4.77136806591846e+01
4.78630092322633e+03	-1.01001040110516e+02,-4.88250750544654e+01
4.89778819368441e+03	-1.01001040110517e+02,-4.99623571508163e+01
5.01187233627267e+03	-1.01001040110517e+02,-5.11261299502585e+01
5.12861383991359e+03	-1.01001040110518e+02,-5.23170105005347e+01
5.24807460249767e+03	-1.01001040110519e+02,-5.35356302222758e+01
5.37031796370247e+03	-1.01001040110519e+02,-5.47826352437886e+01
5.49540873857618e+03	-1.01001040110520e+02,-5.60586867436415e+01
5.62341325190343e+03	-1.01001040110521e+02,-5.73644613012304e+01
5.75439937337150e+03	-1.01001040110521e+02,-5.87006512555095e+01
5.88843655355582e+03	-1.01001040110522e+02,-6.00679650720794e+01
6.02559586074351e+03	-1.01001040110523e+02,-6.14671277188239e+01
6.16595001861475e+03	-1.01001040110524e+02,-6.28988810502986e+01
6.30957344480186e+03	-1.01001040110525e+02,-6.43639842010713e+01
6.45654229034648e+03	-1.01001040110526e+02,-6.58632139882254e+01
6.60693448007588e+03	-1.01001040110527e+02,-6.73973653232388e+01
6.76082975391974e+03	-1.01001040110528e+02,-6.89672516334562e+01
6.91830970918928e+03	-1.01001040110529e+02,-7.05737052933791e+01
7.07945784384129e+03	-1.01001040110530e+02,-7.22175780660020e+01
7.24435960074981e+03	-1.01001040110531e+02,-7.38997415544281e+01
7.41310241300908e+03	-1.01001040110533e+02,-7.56210876640051e+01
7.58577575029174e+03	-1.01001040110534e+02,-7.73825290752250e+01
7.76247116628682e+03	-1.01001040110535e+02,-7.91849997276395e+01
7.94328234724272e+03	-1.01001040110537e+02,-8.10294553150469e+01
8.12830516164089e+03	-1.01001040110538e+02,-8.29168737922140e+01
8.31763771102661e+03	-1.01001040110540e+02,-8.48482558934003e+01
8.51138038202366e+03	-1.01001040110541e+02,-8.68246256629607e+01
8.70963589956070e+03	-1.01001040110543e+02,-8.88470309983074e+01
8.91250938133734e+03	-1.01001040110545e+02,-9.09165442055189e+01
9.12010839355898e+03	-1.01001040110547e+02,-9.30342625678909e+01
