Freq.	V(vout)	V(n003)
8.91250938133735e+001	(1.64165196126189e-003dB,-4.74169446135550e-001°)	(1.64709954314549e-003dB,-4.09999405420537e-001°)
9.12010839355899e+001	(1.68392299501766e-003dB,-5.18535863603077e-001°)	(1.68962731335553e-003dB,-4.52871111918974e-001°)
9.33254300796980e+001	(1.73053900549988e-003dB,-5.63178133031284e-001°)	(1.73651215989641e-003dB,-4.95983854179568e-001°)
9.54992586021425e+001	(1.78159868321825e-003dB,-6.08120026377404e-001°)	(1.78785334350666e-003dB,-5.39360593192727e-001°)
9.77237220955799e+001	(1.83721012142436e-003dB,-6.53385479323345e-001°)	(1.84375955454824e-003dB,-5.83024434784162e-001°)
9.99999999999988e+001	(1.89749104302031e-003dB,-6.98998604490911e-001°)	(1.90434914117291e-003dB,-6.26998642390157e-001°)
1.02329299228074e+002	(1.96256904837075e-003dB,-7.44983704758084e-001°)	(1.96975035846446e-003dB,-6.71306649923641e-001°)
1.04712854805089e+002	(2.03258188385745e-003dB,-7.91365286708655e-001°)	(2.04010163837675e-003dB,-7.15972074763143e-001°)
1.07151930523759e+002	(2.10767773146803e-003dB,-8.38168074224387e-001°)	(2.11555188077840e-003dB,-7.61018730873531e-001°)
1.09647819614317e+002	(2.18801552030331e-003dB,-8.85417022222097e-001°)	(2.19626076648633e-003dB,-8.06470642060714e-001°)
1.12201845430195e+002	(2.27376526073418e-003dB,-9.33137330549921e-001°)	(2.28239909300773e-003dB,-8.52352055374274e-001°)
1.14815362149687e+002	(2.36510840151940e-003dB,-9.81354458058096e-001°)	(2.37414913335356e-003dB,-8.98687454673133e-001°)
1.17489755493952e+002	(2.46223821108907e-003dB,-1.03009413684557e+000°)	(2.47170501902037e-003dB,-9.45501574355280e-001°)
1.20226443461740e+002	(2.56536018325995e-003dB,-1.07938238669956e+000°)	(2.57527314759541e-003dB,-9.92819413268415e-001°)
1.23026877081237e+002	(2.67469246856126e-003dB,-1.12924552974579e+000°)	(2.68507261595338e-003dB,-1.04066624881896e+000°)
1.25892541179415e+002	(2.79046633224177e-003dB,-1.17971020529364e+000°)	(2.80133568029873e-003dB,-1.08906765126335e+000°)
1.28824955169312e+002	(2.91292663900349e-003dB,-1.23080338493625e+000°)	(2.92430824298270e-003dB,-1.13804949824144e+000°)
1.31825673855639e+002	(3.04233236648700e-003dB,-1.28255238787438e+000°)	(3.05425036819749e-003dB,-1.18763798952042e+000°)
1.34896288259164e+002	(3.17895714806052e-003dB,-1.33498489648716e+000°)	(3.19143682707984e-003dB,-1.23785966197211e+000°)
1.38038426460287e+002	(3.32308984578013e-003dB,-1.38812897219119e+000°)	(3.33615767306837e-003dB,-1.28874140482487e+000°)
1.41253754462274e+002	(3.47503515540430e-003dB,-1.44201307155047e+000°)	(3.48871884944931e-003dB,-1.34031047515212e+000°)
1.44543977074591e+002	(3.63511424349368e-003dB,-1.49666606271891e+000°)	(3.64944282910441e-003dB,-1.39259451367898e+000°)
1.47910838816819e+002	(3.80366541939079e-003dB,-1.55211724215318e+000°)	(3.81866928927044e-003dB,-1.44562156084448e+000°)
1.51356124843619e+002	(3.98104484202129e-003dB,-1.60839635168177e+000°)	(3.99675582122675e-003dB,-1.49942007320486e+000°)
1.54881661891246e+002	(4.16762726381040e-003dB,-1.66553359590181e+000°)	(4.18407867725240e-003dB,-1.55401894014897e+000°)
1.58489319246109e+002	(4.36380681285324e-003dB,-1.72355965993701e+000°)	(4.38103355598531e-003dB,-1.60944750095921e+000°)
1.62181009735891e+002	(4.56999781485097e-003dB,-1.78250572757478e+000°)	(4.58803642768927e-003dB,-1.66573556223510e+000°)
1.65958690743754e+002	(4.78663565666863e-003dB,-1.84240349980395e+000°)	(4.80552440128994e-003dB,-1.72291341570114e+000°)
1.69824365246172e+002	(5.01417769293327e-003dB,-1.90328521375217e+000°)	(5.03395663463473e-003dB,-1.78101185639707e+000°)
1.73780082874935e+002	(5.25310419773085e-003dB,-1.96518366207647e+000°)	(5.27381529001315e-003dB,-1.84006220130420e+000°)
1.77827941003890e+002	(5.50391936293532e-003dB,-2.02813221280221e+000°)	(5.52560653648982e-003dB,-1.90009630840209e+000°)
1.81970085860996e+002	(5.76715234544783e-003dB,-2.09216482963859e+000°)	(5.78986160132939e-003dB,-1.96114659618371e+000°)
1.86208713666284e+002	(6.04335836523261e-003dB,-2.15731609279869e+000°)	(6.06713787244357e-003dB,-2.02324606365647e+000°)
1.90546071796322e+002	(6.33311985602581e-003dB,-2.22362122035735e+000°)	(6.35802005367015e-003dB,-2.08642831086206e+000°)
1.94984459975802e+002	(6.63704767160162e-003dB,-2.29111609013646e+000°)	(6.66312137588715e-003dB,-2.15072755990412e+000°)
1.99526231496885e+002	(6.95578234894135e-003dB,-2.35983726219923e+000°)	(6.98308486518737e-003dB,-2.21617867656503e+000°)
2.04173794466950e+002	(7.28999543136344e-003dB,-2.42982200194240e+000°)	(7.31858467132425e-003dB,-2.28281719250011e+000°)
2.08929613085401e+002	(7.64039085454553e-003dB,-2.50110830380383e+000°)	(7.67032745923033e-003dB,-2.35067932802646e+000°)
2.13796208950221e+002	(8.00770639642039e-003dB,-2.57373491568503e+000°)	(8.03905386472736e-003dB,-2.41980201560515e+000°)
2.18776162394953e+002	(8.39271519561224e-003dB,-2.64774136404590e+000°)	(8.42554001900098e-003dB,-2.49022292397392e+000°)
2.23872113856831e+002	(8.79622733983466e-003dB,-2.72316797973844e+000°)	(8.83059914336744e-003dB,-2.56198048299642e+000°)
