time,V(vout3),V(vp)-V(vm)
5.167242519894724e-004,2.351217e+000,-7.410293e-004
5.223046091323295e-004,2.376074e+000,-9.865566e-004
5.278849662751867e-004,2.401131e+000,-1.231325e-003
5.334653234180438e-004,2.426387e+000,-1.475334e-003
5.404407698466152e-004,2.458138e+000,-1.778325e-003
5.474162162751867e-004,2.489820e+000,-2.076470e-003
5.543916627037581e-004,2.521431e+000,-2.369769e-003
5.613671091323295e-004,2.552972e+000,-2.658221e-003
5.683425555609010e-004,2.584443e+000,-2.941827e-003
5.753180019894724e-004,2.615844e+000,-3.220587e-003
5.822934484180438e-004,2.647175e+000,-3.494501e-003
5.934541627037581e-004,2.697020e+000,-3.920988e-003
6.046148769894724e-004,2.745331e+000,-4.323614e-003
6.157755912751867e-004,2.792108e+000,-4.702378e-003
6.269363055609011e-004,2.837352e+000,-5.057281e-003
6.380970198466153e-004,2.881063e+000,-5.388323e-003
6.492577341323296e-004,2.923240e+000,-5.695504e-003
6.604184484180439e-004,2.963884e+000,-5.978823e-003
6.687889841323296e-004,2.992647e+000,-6.169815e-003
6.771595198466153e-004,3.019875e+000,-6.342727e-003
6.855300555609011e-004,3.045570e+000,-6.497558e-003
6.939005912751868e-004,3.069731e+000,-6.634308e-003
7.022711269894725e-004,3.092359e+000,-6.752978e-003
7.106416627037582e-004,3.113452e+000,-6.853566e-003
7.190121984180439e-004,3.133012e+000,-6.936073e-003
7.245925555609010e-004,3.145007e+000,-6.979826e-003
7.301729127037582e-004,3.156179e+000,-7.014897e-003
7.357532698466153e-004,3.166530e+000,-7.041289e-003
7.413336269894726e-004,3.176057e+000,-7.059000e-003
7.469139841323297e-004,3.184763e+000,-7.068031e-003
7.524943412751869e-004,3.192646e+000,-7.068381e-003
7.580746984180440e-004,3.199707e+000,-7.060051e-003
7.636550555609011e-004,3.205893e+000,-7.043099e-003
7.692354127037583e-004,3.211200e+000,-7.017583e-003
7.748157698466154e-004,3.215629e+000,-6.983504e-003
7.803961269894726e-004,3.219178e+000,-6.940861e-003
7.859764841323297e-004,3.221848e+000,-6.889655e-003
7.915568412751869e-004,3.223639e+000,-6.829885e-003
7.971371984180440e-004,3.224551e+000,-6.761551e-003
8.013224662751869e-004,3.224643e+000,-6.704890e-003
8.055077341323297e-004,3.224236e+000,-6.643694e-003
8.096930019894726e-004,3.223331e+000,-6.577964e-003
8.138782698466154e-004,3.221927e+000,-6.507698e-003
