Freq.,V(vout3)/(V(vp)-V(vm))
6.16595001861481e-002,(-9.57124524954424e+000dB,-3.45829030851199e+000°)
6.30957344480192e-002,(-9.17063886447510e+000dB,-3.53919232804430e+000°)
6.45654229034654e-002,(-8.77000403638468e+000dB,-3.62200376515826e+000°)
6.60693448007594e-002,(-8.36933943810602e+000dB,-3.70677088371991e+000°)
6.76082975391980e-002,(-7.96864368155802e+000dB,-3.79354115349461e+000°)
6.91830970918935e-002,(-7.56791531290013e+000dB,-3.88236328745621e+000°)
7.07945784384136e-002,(-7.16715281345967e+000dB,-3.97328728062982e+000°)
7.24435960074988e-002,(-6.76635459317362e+000dB,-4.06636445055430e+000°)
7.41310241300916e-002,(-6.36551898984369e+000dB,-4.16164747945042e+000°)
7.58577575029182e-002,(-5.96464426468781e+000dB,-4.25919045819308e+000°)
7.76247116628690e-002,(-5.56372859874236e+000dB,-4.35904893218791e+000°)
7.94328234724279e-002,(-5.16277009072223e+000dB,-4.46127994925948e+000°)
8.12830516164097e-002,(-4.76176675113839e+000dB,-4.56594210966883e+000°)
8.31763771102669e-002,(-4.36071650081590e+000dB,-4.67309561838377e+000°)
8.51138038202374e-002,(-3.95961716558492e+000dB,-4.78280233972842e+000°)
8.70963589956078e-002,(-3.55846647236833e+000dB,-4.89512585456196e+000°)
8.91250938133743e-002,(-3.15726204427676e+000dB,-5.01013152012694e+000°)
9.12010839355907e-002,(-2.75600139763383e+000dB,-5.12788653273286e+000°)
9.33254300796988e-002,(-2.35468193647799e+000dB,-5.24845999344489e+000°)
9.54992586021433e-002,(-1.95330094694934e+000dB,-5.37192297696252e+000°)
9.77237220955808e-002,(-1.55185559316438e+000dB,-5.49834860387823e+000°)
9.99999999999997e-002,(-1.15034291252338e+000dB,-5.62781211653230e+000°)
1.02329299228075e-001,(-7.48759809206998e-001dB,-5.76039095868312e+000°)
1.04712854805090e-001,(-3.47103049371142e-001dB,-5.89616485923288e+000°)
1.07151930523760e-001,(5.46307445416929e-002dB,-6.03521592026529e+000°)
1.09647819614318e-001,(4.56445101278297e-001dB,-6.17762870966997e+000°)
1.12201845430196e-001,(8.58343704221035e-001dB,-6.32349035864423e+000°)
1.14815362149688e-001,(1.26033040004241e+000dB,-6.47289066438961e+000°)
1.17489755493953e-001,(1.66240920421983e+000dB,-6.62592219833616e+000°)
1.20226443461741e-001,(2.06458430787130e+000dB,-6.78268042025778e+000°)
1.23026877081238e-001,(2.46686008505344e+000dB,-6.94326379866038e+000°)
1.25892541179416e-001,(2.86924109944325e+000dB,-7.10777393786164e+000°)
1.28824955169313e-001,(3.27173211126509e+000dB,-7.27631571219917e+000°)
1.31825673855640e-001,(3.67433808603412e+000dB,-7.44899740784828e+000°)
1.34896288259165e-001,(4.07706420068209e+000dB,-7.62593087275035e+000°)
1.38038426460288e-001,(4.47991585305226e+000dB,-7.80723167520705e+000°)
1.41253754462275e-001,(4.88289866789621e+000dB,-7.99301927171425e+000°)
1.44543977074592e-001,(5.28601850579324e+000dB,-8.18341718467530e+000°)
1.47910838816820e-001,(5.68928147175740e+000dB,-8.37855319065450e+000°)
1.51356124843620e-001,(6.09269392279882e+000dB,-8.57855951989942e+000°)
1.54881661891248e-001,(6.49626247608905e+000dB,-8.78357306790169e+000°)
1.58489319246111e-001,(6.89999401816897e+000dB,-8.99373561983317e+000°)
1.62181009735892e-001,(7.30389571139556e+000dB,-9.20919408873173e+000°)
1.65958690743755e-001,(7.70797500310331e+000dB,-9.43010076841465e+000°)
1.69824365246174e-001,(8.11223963476579e+000dB,-9.65661360211652e+000°)
1.73780082874937e-001,(8.51669764720643e+000dB,-9.88889646797149e+000°)
1.77827941003892e-001,(8.92135738919705e+000dB,-1.01271194825036e+001°)
1.81970085860998e-001,(9.32622752565170e+000dB,-1.03714593233900e+001°)
1.86208713666286e-001,(9.73131704250224e+000dB,-1.06220995728507e+001°)
