Freq.	V(vout)/(V(Vip)-V(Vim))
6.45654229034654e+00	(8.22828126484819e-05dB,-6.14971218070713e-05°)
6.60693448007594e+00	(8.22828122318964e-05dB,-6.29295737906131e-05°)
6.76082975391980e+00	(8.22828124131882e-05dB,-6.43953918671501e-05°)
6.91830970918935e+00	(8.22828122878268e-05dB,-6.58953532328290e-05°)
7.07945784384136e+00	(8.22828121508937e-05dB,-6.74302531870202e-05°)
7.24435960074988e+00	(8.22828120139604e-05dB,-6.90009055539961e-05°)
7.41310241300916e+00	(8.22828118673841e-05dB,-7.06081431144319e-05°)
7.58577575029182e+00	(8.22828114180117e-05dB,-7.22528180469564e-05°)
7.76247116628690e+00	(8.22828115530163e-05dB,-7.39358023799887e-05°)
7.94328234724279e+00	(8.22828113852249e-05dB,-7.56579884540989e-05°)
8.12830516164097e+00	(8.22828115144435e-05dB,-7.74202893951396e-05°)
8.31763771102669e+00	(8.22828110284271e-05dB,-7.92236395983965e-05°)
8.51138038202374e+00	(8.22828108355634e-05dB,-8.10689952240176e-05°)
8.70963589956078e+00	(8.22828109339239e-05dB,-8.29573347039815e-05°)
8.91250938133743e+00	(8.22828107217739e-05dB,-8.48896592608759e-05°)
9.12010839355907e+00	(8.22828105038379e-05dB,-8.68669934387581e-05°)
9.33254300796988e+00	(8.22828102685443e-05dB,-8.88903856463824e-05°)
9.54992586021433e+00	(8.22828100274647e-05dB,-9.09609087130801e-05°)
9.77237220955808e+00	(8.22828097728846e-05dB,-9.30796604575879e-05°)
9.99999999999997e+00	(8.22828095067328e-05dB,-9.52477642701253e-05°)
1.02329299228075e+01	(8.22828092251518e-05dB,-9.74663697080325e-05°)
1.04712854805090e+01	(8.22828092405809e-05dB,-9.97366531052790e-05°)
1.07151930523760e+01	(8.22828089339277e-05dB,-1.02059818196173e-04°)
1.09647819614318e+01	(8.22828083148353e-05dB,-1.04437096753597e-04°)
1.12201845430196e+01	(8.22828082781912e-05dB,-1.06869749242108e-04°)
1.14815362149688e+01	(8.22828079310366e-05dB,-1.09359065486256e-04°)
1.17489755493953e+01	(8.22828072637283e-05dB,-1.11906365354464e-04°)
1.20226443461741e+01	(8.22828071769397e-05dB,-1.14512999458839e-04°)
1.23026877081238e+01	(8.22828067757833e-05dB,-1.17180349871287e-04°)
1.25892541179416e+01	(8.22828066600651e-05dB,-1.19909830856302e-04°)
1.28824955169313e+01	(8.22828059136827e-05dB,-1.22702889620833e-04°)
1.31825673855640e+01	(8.22828057497486e-05dB,-1.25561007081605e-04°)
1.34896288259165e+01	(8.22828052714467e-05dB,-1.28485698650330e-04°)
1.38038426460288e+01	(8.22828044614193e-05dB,-1.31478515037189e-04°)
1.41253754462275e+01	(8.22828039271869e-05dB,-1.34541043073046e-04°)
1.44543977074592e+01	(8.22828036764641e-05dB,-1.37674906550802e-04°)
1.47910838816820e+01	(8.22828030901586e-05dB,-1.40881767086356e-04°)
1.51356124843620e+01	(8.22828027873627e-05dB,-1.44163324999610e-04°)
1.54881661891248e+01	(8.22828021489839e-05dB,-1.47521320216008e-04°)
1.58489319246111e+01	(8.22828014797470e-05dB,-1.50957533189061e-04°)
1.62181009735892e+01	(8.22828007835092e-05dB,-1.54473785844371e-04°)
1.65958690743755e+01	(8.22828003534232e-05dB,-1.58071942545640e-04°)
1.69824365246174e+01	(8.22827995838971e-05dB,-1.61753911083178e-04°)
1.73780082874937e+01	(8.22827987815843e-05dB,-1.65521643685439e-04°)
1.77827941003892e+01	(8.22827979426273e-05dB,-1.69377138054123e-04°)
1.81970085860998e+01	(8.22827973601791e-05dB,-1.73322438423376e-04°)
1.86208713666286e+01	(8.22827964363621e-05dB,-1.77359636643678e-04°)
1.90546071796324e+01	(8.22827957709825e-05dB,-1.81490873290962e-04°)
1.94984459975804e+01	(8.22827947661628e-05dB,-1.85718338801583e-04°)
1.99526231496887e+01	(8.22827940082086e-05dB,-1.90044274633712e-04°)
2.04173794466952e+01	(8.22827926003038e-05dB,-1.94470974455789e-04°)
2.08929613085403e+01	(8.22827917401319e-05dB,-1.99000785362652e-04°)
2.13796208950222e+01	(8.22827908240294e-05dB,-2.03636109120005e-04°)
2.18776162394954e+01	(8.22827895453433e-05dB,-2.08379403437859e-04°)
2.23872113856833e+01	(8.22827885193086e-05dB,-2.13233183273647e-04°)
2.29086765276776e+01	(8.22827874257716e-05dB,-2.18200022165685e-04°)
2.34422881531991e+01	(8.22827856629977e-05dB,-2.23282553597699e-04°)
2.39883291901948e+01	(8.22827847430380e-05dB,-2.28483472395128e-04°)
2.45470891568502e+01	(8.22827831326264e-05dB,-2.33805536153963e-04°)
2.51188643150957e+01	(8.22827817536512e-05dB,-2.39251566702854e-04°)
2.57039578276885e+01	(8.22827800005205e-05dB,-2.44824451599285e-04°)
2.63026799189537e+01	(8.22827784653257e-05dB,-2.50527145660595e-04°)
2.69153480392690e+01	(8.22827768375563e-05dB,-2.56362672530659e-04°)
2.75422870333815e+01	(8.22827748182738e-05dB,-2.62334126283067e-04°)
2.81838293126444e+01	(8.22827730072839e-05dB,-2.68444673061640e-04°)
2.88403150312659e+01	(8.22827711037195e-05dB,-2.74697552759164e-04°)
2.95120922666637e+01	(8.22827690863656e-05dB,-2.81096080735221e-04°)
3.01995172040200e+01	(8.22827669610080e-05dB,-2.87643649574039e-04°)
3.09029543251358e+01	(8.22827650285141e-05dB,-2.94343730883285e-04°)
3.16227766016837e+01	(8.22827623708527e-05dB,-3.01199877134756e-04°)
3.23593656929627e+01	(8.22827598886974e-05dB,-3.08215723547945e-04°)
3.31131121482590e+01	(8.22827572734660e-05dB,-3.15394990017490e-04°)
3.38844156139201e+01	(8.22827545193729e-05dB,-3.22741483085501e-04°)
3.46736850452530e+01	(8.22827519214993e-05dB,-3.30259097959846e-04°)
3.54813389233574e+01	(8.22827488819679e-05dB,-3.37951820579440e-04°)
3.63078054770100e+01	(8.22827456823597e-05dB,-3.45823729727642e-04°)
3.71535229097171e+01	(8.22827423111028e-05dB,-3.53878999194880e-04°)
3.80189396320559e+01	(8.22827390671360e-05dB,-3.62121899991652e-04°)
3.89045144994279e+01	(8.22827353410099e-05dB,-3.70556802613069e-04°)
3.98107170553495e+01	(8.22827317325307e-05dB,-3.79188179356151e-04°)
4.07380277804111e+01	(8.22827276206774e-05dB,-3.88020606691099e-04°)
4.16869383470333e+01	(8.22827236013985e-05dB,-3.97058767687798e-04°)
4.26579518801591e+01	(8.22827193641838e-05dB,-4.06307454498845e-04°)
4.36515832240164e+01	(8.22827149071045e-05dB,-4.15771570900409e-04°)
4.46683592150961e+01	(8.22827102031597e-05dB,-4.25456134892280e-04°)
4.57088189614873e+01	(8.22827052484921e-05dB,-4.35366281358482e-04°)
4.67735141287196e+01	(8.22827003420404e-05dB,-4.45507264789846e-04°)
4.78630092322636e+01	(8.22826948473545e-05dB,-4.55884462070024e-04°)
4.89778819368444e+01	(8.22826890730164e-05dB,-4.66503375326375e-04°)
5.01187233627270e+01	(8.22826829978109e-05dB,-4.77369634847266e-04°)
5.12861383991362e+01	(8.22826769071763e-05dB,-4.88489002067332e-04°)
5.24807460249770e+01	(8.22826704886735e-05dB,-4.99867372622258e-04°)
5.37031796370250e+01	(8.22826637249447e-05dB,-5.11510779474726e-04°)
5.49540873857622e+01	(8.22826566005609e-05dB,-5.23425396113171e-04°)
5.62341325190346e+01	(8.22826490981643e-05dB,-5.35617539825048e-04°)
5.75439937337154e+01	(8.22826411926826e-05dB,-5.48093675046339e-04°)
5.88843655355586e+01	(8.22826331849832e-05dB,-5.60860416789084e-04°)
6.02559586074355e+01	(8.22826247394832e-05dB,-5.73924534148747e-04°)
6.16595001861479e+01	(8.22826158330391e-05dB,-5.87292953893282e-04°)
6.30957344480190e+01	(8.22826058523444e-05dB,-6.00972764135796e-04°)
6.45654229034652e+01	(8.22825962689488e-05dB,-6.14971218092756e-04°)
6.60693448007593e+01	(8.22825861744645e-05dB,-6.29295737929750e-04°)
6.76082975391978e+01	(8.22825752236655e-05dB,-6.43953918696809e-04°)
6.91830970918933e+01	(8.22825640067147e-05dB,-6.58953532355409e-04°)
7.07945784384134e+01	(8.22825518890905e-05dB,-6.74302531899261e-04°)
7.24435960074986e+01	(8.22825397406082e-05dB,-6.90009055571098e-04°)
7.41310241300914e+01	(8.22825269421753e-05dB,-7.06081431177683e-04°)
7.58577575029180e+01	(8.22825128419127e-05dB,-7.22528180505315e-04°)
7.76247116628688e+01	(8.22824995343197e-05dB,-7.39358023838192e-04°)
7.94328234724277e+01	(8.22824845700278e-05dB,-7.56579884582035e-04°)
8.12830516164095e+01	(8.22824685083417e-05dB,-7.74202893995379e-04°)
8.31763771102667e+01	(8.22824525257297e-05dB,-7.92236396031092e-04°)
8.51138038202372e+01	(8.22824350657820e-05dB,-8.10689952290675e-04°)
8.70963589956076e+01	(8.22824173165388e-05dB,-8.29573347093926e-04°)
8.91250938133741e+01	(8.22823989057732e-05dB,-8.48896592666739e-04°)
9.12010839355905e+01	(8.22823792008924e-05dB,-8.68669934449708e-04°)
9.33254300796986e+01	(8.22823587573438e-05dB,-8.88903856530396e-04°)
9.54992586021431e+01	(8.22823375230541e-05dB,-9.09609087202133e-04°)
9.77237220955805e+01	(8.22823145394910e-05dB,-9.30796604652312e-04°)
9.99999999999995e+01	(8.22822906629691e-05dB,-9.52477642783155e-04°)
1.02329299228075e+02	(8.22822667459459e-05dB,-9.74663697168081e-04°)
1.04712854805089e+02	(8.22822402966227e-05dB,-9.97366531146825e-04°)
1.07151930523760e+02	(8.22822133902126e-05dB,-1.02059818206249e-03°)
1.09647819614318e+02	(8.22821853420496e-05dB,-1.04437096764393e-03°)
1.12201845430196e+02	(8.22821554886827e-05dB,-1.06869749253677e-03°)
1.14815362149688e+02	(8.22821243566297e-05dB,-1.09359065498652e-03°)
1.17489755493952e+02	(8.22820921753983e-05dB,-1.11906365367746e-03°)
1.20226443461741e+02	(8.22820579633126e-05dB,-1.14512999473072e-03°)
1.23026877081237e+02	(8.22820222372470e-05dB,-1.17180349886537e-03°)
1.25892541179416e+02	(8.22819849200562e-05dB,-1.19909830872644e-03°)
1.28824955169313e+02	(8.22819459230229e-05dB,-1.22702889638343e-03°)
1.31825673855640e+02	(8.22819045344801e-05dB,-1.25561007100368e-03°)
1.34896288259165e+02	(8.22818618807517e-05dB,-1.28485698670434e-03°)
1.38038426460288e+02	(8.22818166445787e-05dB,-1.31478515058732e-03°)
1.41253754462275e+02	(8.22817699214269e-05dB,-1.34541043096129e-03°)
1.44543977074592e+02	(8.22817210015580e-05dB,-1.37674906575536e-03°)
1.47910838816820e+02	(8.22816688589372e-05dB,-1.40881767112859e-03°)
1.51356124843620e+02	(8.22816151811216e-05dB,-1.44163325028008e-03°)
1.54881661891247e+02	(8.22815586373519e-05dB,-1.47521320246437e-03°)
1.58489319246110e+02	(8.22814990829804e-05dB,-1.50957533221667e-03°)
1.62181009735892e+02	(8.22814372856044e-05dB,-1.54473785879308e-03°)
1.65958690743755e+02	(8.22813724949843e-05dB,-1.58071942583076e-03°)
1.69824365246173e+02	(8.22813045529720e-05dB,-1.61753911123291e-03°)
1.73780082874936e+02	(8.22812332994905e-05dB,-1.65521643728422e-03°)
1.77827941003891e+02	(8.22811588656871e-05dB,-1.69377138100179e-03°)
1.81970085860997e+02	(8.22810807636168e-05dB,-1.73322438472727e-03°)
1.86208713666286e+02	(8.22809991302127e-05dB,-1.77359636696558e-03°)
1.90546071796323e+02	(8.22809134408858e-05dB,-1.81490873347624e-03°)
1.94984459975803e+02	(8.22808231999763e-05dB,-1.85718338862298e-03°)
1.99526231496887e+02	(8.22807303187633e-05dB,-1.90044274698769e-03°)
2.04173794466952e+02	(8.22806315301361e-05dB,-1.94470974525498e-03°)
2.08929613085403e+02	(8.22805290327406e-05dB,-1.99000785437347e-03°)
2.13796208950222e+02	(8.22804210599457e-05dB,-2.03636109200042e-03°)
2.18776162394954e+02	(8.22803082674877e-05dB,-2.08379403523620e-03°)
2.23872113856832e+02	(8.22801903834289e-05dB,-2.13233183365542e-03°)
2.29086765276776e+02	(8.22800665148106e-05dB,-2.18200022264153e-03°)
2.34422881531991e+02	(8.22799366770618e-05dB,-2.23282553703209e-03°)
2.39883291901947e+02	(8.22798011594780e-05dB,-2.28483472508185e-03°)
2.45470891568501e+02	(8.22796590324563e-05dB,-2.33805536275105e-03°)
2.51188643150956e+02	(8.22795105602201e-05dB,-2.39251566832660e-03°)
2.57039578276885e+02	(8.22793550870327e-05dB,-2.44824451738374e-03°)
2.63026799189536e+02	(8.22791916331469e-05dB,-2.50527145809632e-03°)
2.69153480392690e+02	(8.22790210220903e-05dB,-2.56362672690355e-03°)
2.75422870333815e+02	(8.22788425364103e-05dB,-2.62334126454184e-03°)
2.81838293126443e+02	(8.22786551481434e-05dB,-2.68444673244996e-03°)
2.88403150312659e+02	(8.22784590096520e-05dB,-2.74697552955633e-03°)
2.95120922666637e+02	(8.22782539627878e-05dB,-2.81096080945741e-03°)
3.01995172040200e+02	(8.22780385977175e-05dB,-2.87643649799616e-03°)
3.09029543251357e+02	(8.22778136126075e-05dB,-2.94343731124995e-03°)
3.16227766016836e+02	(8.22775778657049e-05dB,-3.01199877393753e-03°)
3.23593656929626e+02	(8.22773314090828e-05dB,-3.08215723825466e-03°)
3.31131121482589e+02	(8.22770730219144e-05dB,-3.15394990314858e-03°)
3.38844156139200e+02	(8.22768021082509e-05dB,-3.22741483404137e-03°)
3.46736850452529e+02	(8.22765186140903e-05dB,-3.30259098301271e-03°)
3.54813389233573e+02	(8.22762221614200e-05dB,-3.37951820945283e-03°)
3.63078054770099e+02	(8.22759114464816e-05dB,-3.45823730119650e-03°)
3.71535229097170e+02	(8.22755863149841e-05dB,-3.53878999614924e-03°)
3.80189396320558e+02	(8.22752453956669e-05dB,-3.62121900441738e-03°)
3.89045144994278e+02	(8.22748887791758e-05dB,-3.70556803095345e-03°)
3.98107170553494e+02	(8.22745149997470e-05dB,-3.79188179872919e-03°)
4.07380277804110e+02	(8.22741240805242e-05dB,-3.88020607244825e-03°)
4.16869383470332e+02	(8.22737144670262e-05dB,-3.97058768281127e-03°)
4.26579518801589e+02	(8.22732851910773e-05dB,-4.06307455134608e-03°)
4.36515832240163e+02	(8.22728364339695e-05dB,-4.15771571581641e-03°)
4.46683592150960e+02	(8.22723662014924e-05dB,-4.25456135622234e-03°)
4.57088189614872e+02	(8.22718739864145e-05dB,-4.35366282140641e-03°)
4.67735141287195e+02	(8.22713579970324e-05dB,-4.45507265627946e-03°)
4.78630092322635e+02	(8.22708182198457e-05dB,-4.55884462968064e-03°)
4.89778819368442e+02	(8.22702530405855e-05dB,-4.66503376288641e-03°)
5.01187233627268e+02	(8.22696608295537e-05dB,-4.77369635878354e-03°)
5.12861383991361e+02	(8.22690407477934e-05dB,-4.88489003172163e-03°)
5.24807460249769e+02	(8.22683916284794e-05dB,-4.99867373806106e-03°)
5.37031796370249e+02	(8.22677119171305e-05dB,-5.11510780743242e-03°)
5.49540873857620e+02	(8.22670002810589e-05dB,-5.23425397472410e-03°)
5.62341325190345e+02	(8.22662547221969e-05dB,-5.35617541281499e-03°)
5.75439937337152e+02	(8.22654740698620e-05dB,-5.48093676606955e-03°)
5.88843655355584e+02	(8.22646573346637e-05dB,-5.60860418461312e-03°)
6.02559586074353e+02	(8.22638010797713e-05dB,-5.73924535940573e-03°)
6.16595001861477e+02	(8.22629050506049e-05dB,-5.87292955813259e-03°)
6.30957344480188e+02	(8.22619671044491e-05dB,-6.00972766193086e-03°)
6.45654229034650e+02	(8.22609847012893e-05dB,-6.14971220297183e-03°)
6.60693448007591e+02	(8.22599557832703e-05dB,-6.29295740291836e-03°)
6.76082975391976e+02	(8.22588785066153e-05dB,-6.43953921227831e-03°)
6.91830970918931e+02	(8.22577505781754e-05dB,-6.58953535067447e-03°)
7.07945784384132e+02	(8.22565686980531e-05dB,-6.74302534805262e-03°)
7.24435960074984e+02	(8.22553318614289e-05dB,-6.90009058684935e-03°)
7.41310241300911e+02	(8.22540367896202e-05dB,-7.06081434514220e-03°)
7.58577575029177e+02	(8.22526803948798e-05dB,-7.22528184080477e-03°)
7.76247116628685e+02	(8.22512603223422e-05dB,-7.39358027669049e-03°)
7.94328234724275e+02	(8.22497734996893e-05dB,-7.56579888686872e-03°)
8.12830516164092e+02	(8.22482157494939e-05dB,-7.74202898393791e-03°)
8.31763771102664e+02	(8.22465857506400e-05dB,-7.92236400744075e-03°)
8.51138038202369e+02	(8.22448781068019e-05dB,-8.10689957340726e-03°)
8.70963589956073e+02	(8.22430902393926e-05dB,-8.29573352505152e-03°)
8.91250938133738e+02	(8.22412181619198e-05dB,-8.48896598464974e-03°)
9.12010839355902e+02	(8.22392577008139e-05dB,-8.68669940662629e-03°)
9.33254300796983e+02	(8.22372047673650e-05dB,-8.88903863187660e-03°)
9.54992586021428e+02	(8.22350553519374e-05dB,-9.09609094335520e-03°)
9.77237220955802e+02	(8.22328046194388e-05dB,-9.30796612295873e-03°)
9.99999999999991e+02	(8.22304477887790e-05dB,-9.52477650973376e-03°)
1.02329299228075e+03	(8.22279795060623e-05dB,-9.74663705944064e-03°)
1.04712854805089e+03	(8.22253953874976e-05dB,-9.97366540550457e-03°)
1.07151930523760e+03	(8.22226892402323e-05dB,-1.02059819213867e-02°)
1.09647819614318e+03	(8.22198554962923e-05dB,-1.04437097844075e-02°)
1.12201845430195e+03	(8.22168885799888e-05dB,-1.06869750410576e-02°)
1.14815362149687e+03	(8.22137810988573e-05dB,-1.09359066738292e-02°)
1.17489755493952e+03	(8.22105280095127e-05dB,-1.11906366696045e-02°)
1.20226443461740e+03	(8.22071215434063e-05dB,-1.14513000896369e-02°)
1.23026877081237e+03	(8.22035541537826e-05dB,-1.17180351411627e-02°)
1.25892541179416e+03	(8.21998187972602e-05dB,-1.19909832506807e-02°)
1.28824955169312e+03	(8.21959071498431e-05dB,-1.22702891389380e-02°)
1.31825673855640e+03	(8.21918110495404e-05dB,-1.25561008976638e-02°)
1.34896288259164e+03	(8.21875222032143e-05dB,-1.28485700680894e-02°)
1.38038426460287e+03	(8.21830309599664e-05dB,-1.31478517212978e-02°)
1.41253754462274e+03	(8.21783286795042e-05dB,-1.34541045404445e-02°)
1.44543977074591e+03	(8.21734044013849e-05dB,-1.37674909048941e-02°)
1.47910838816819e+03	(8.21682481603423e-05dB,-1.40881769763159e-02°)
1.51356124843619e+03	(8.21628482186934e-05dB,-1.44163327867857e-02°)
1.54881661891247e+03	(8.21571949698981e-05dB,-1.47521323289388e-02°)
1.58489319246110e+03	(8.21512745856309e-05dB,-1.50957536482247e-02°)
1.62181009735891e+03	(8.21450750099834e-05dB,-1.54473789373084e-02°)
1.65958690743754e+03	(8.21385838186772e-05dB,-1.58071946326723e-02°)
1.69824365246173e+03	(8.21317860782779e-05dB,-1.61753915134680e-02°)
1.73780082874936e+03	(8.21246685409792e-05dB,-1.65521648026702e-02°)
1.77827941003891e+03	(8.21172156870409e-05dB,-1.69377142705869e-02°)
1.81970085860997e+03	(8.21094111751232e-05dB,-1.73322443407811e-02°)
1.86208713666285e+03	(8.21012384555938e-05dB,-1.77359641984595e-02°)
1.90546071796323e+03	(8.20926809730340e-05dB,-1.81490879013856e-02°)
1.94984459975803e+03	(8.20837206715459e-05dB,-1.85718344933774e-02°)
1.99526231496886e+03	(8.20743373120146e-05dB,-1.90044281204472e-02°)
2.04173794466951e+03	(8.20645120593727e-05dB,-1.94470981496483e-02°)
2.08929613085402e+03	(8.20542238104756e-05dB,-1.99000792906890e-02°)
2.13796208950221e+03	(8.20434506675806e-05dB,-2.03636117203799e-02°)
2.18776162394953e+03	(8.20321698631293e-05dB,-2.08379412099798e-02°)
2.23872113856832e+03	(8.20203577115321e-05dB,-2.13233192555079e-02°)
2.29086765276775e+03	(8.20079880643303e-05dB,-2.18200032110917e-02°)
2.34422881531990e+03	(8.19950361366108e-05dB,-2.23282564254203e-02°)
2.39883291901947e+03	(8.19814730586079e-05dB,-2.28483483813775e-02°)
2.45470891568501e+03	(8.19672714938216e-05dB,-2.33805548389259e-02°)
2.51188643150955e+03	(8.19524001713328e-05dB,-2.39251579813205e-02°)
2.57039578276884e+03	(8.19368280227287e-05dB,-2.44824465647275e-02°)
2.63026799189535e+03	(8.19205223228974e-05dB,-2.50527160713281e-02°)
2.69153480392689e+03	(8.19034482522269e-05dB,-2.56362688659896e-02°)
2.75422870333814e+03	(8.18855691897580e-05dB,-2.62334143565849e-02°)
2.81838293126442e+03	(8.18668474692100e-05dB,-2.68444691580466e-02°)
2.88403150312658e+03	(8.18472434243051e-05dB,-2.74697572602434e-02°)
2.95120922666635e+03	(8.18267155546315e-05dB,-2.81096101997658e-02°)
3.01995172040198e+03	(8.18052204812845e-05dB,-2.87643672357139e-02°)
3.09029543251356e+03	(8.17827115871773e-05dB,-2.94343755295804e-02°)
3.16227766016835e+03	(8.17591422417222e-05dB,-3.01199903293226e-02°)
3.23593656929625e+03	(8.17344620727748e-05dB,-3.08215751577236e-02°)
3.31131121482588e+03	(8.17086192694271e-05dB,-3.15395020051397e-02°)
3.38844156139199e+03	(8.16815586128684e-05dB,-3.22741515267391e-02°)
3.46736850452528e+03	(8.16532216846788e-05dB,-3.30259132443339e-02°)
3.54813389233572e+03	(8.16235497115675e-05dB,-3.37951857529142e-02°)
